text,label,flag_words
"සමාජ මාධ්‍ය පරිශීලකයන් සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් ඇතුලේ කෙනෙක් කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහස්, ඇතුලේ කෙනෙක්, තොරතුරු, නමුත් නිල තොරතුරු, නිල තොරතුරු, නමුත් නිල"
ඔය කණ්ඩායම සහමුලින්ම මෝඩ තීරණ. දැන්ම හදාගන්න! නෙමෙයිද?,HATE,"මෝඩ, හදාගන්න, කණ්ඩායම, මෝඩ තීරණ, සහමුලින්ම, තීරණ"
"වෛද්‍යවරුන් සමහර සතියකට වරක් වගේ පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,
"ගුරුවරුන් සමහර සතියකට වරක් වගේ අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
"ඇතුලේ කෙනෙක් කියනවා සමාජ මාධ්‍ය පරිශීලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,"ඇතුලේ කෙනෙක්, තහවුරු, වෙනස්, ප්රතිඵල, මමත් තහවුරු, මමත්"
"ගුරුවරුන් රහසේ පාලනයක් තියෙනවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහසේ, හෙළිවුණා, තොරතුරු, තියෙනවා, නමුත් නිල තොරතුරු, නිල තොරතුරු"
ඔය ටීම් එක කියන දේ අහන්නත් අමාරුයි. හරිම පිළිවෙලක් නෑ. කඩිනම්ව වෙනස් වෙන්න! ඉතින්.,HATE,"ටීම්, අහන්නත් අමාරුයි, අහන්නත්, අමාරුයි, කඩිනම්ව වෙනස් වෙන්න, කඩිනම්ව වෙනස්"
වෛද්‍යවරුන් ඇතැම් අවස්ථාවල අවධානය අඩු වගේ වගේ හැඟෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,
"පොලිස් නිලධාරීන් කිහිපදෙනෙක් වෙන වෙන වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,
ඔයාලා ඇත්තටම අදාල නැති වැඩ නේද? නවත්තන්න! නෙමෙයිද?,HATE,"නවත්තන්න, වැඩ, ඇත්තටම, නැති, අදාල නැති වැඩ, නැති වැඩ"
"පොලිස් නිලධාරීන් කීප දෙනෙක් සතියකට වරක් වගේ පක්ෂපාති වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
වෘත්තීයවේදීන් අදාල තත්ත්වය අනුව අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,
"සමාජ මාධ්‍ය පරිශීලකයන් කියනවා සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක්, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස්, සාක්ෂි, ඒකට, ඒකට හොඳ සාක්ෂි, හොඳ සාක්ෂි, ඒකට හොඳ"
මේක ඔය කණ්ඩායමගේ පුරුද්දක් වගේ—ඇත්තටම නරකයි නෙමෙයිද?,HATE,"ඇත්තටම, මේක, පුරුද්දක්, ඇත්තටම නරකයි, නරකයි, කණ්ඩායමගේ"
"වෘත්තීයවේදීන් ගැන අදහස් වෙනස් වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
ඔයා වැඩේ ඇත්තටම හරිම අප්පිරියයි. බොරුව පතුරවනවා. වගකීම ගන්න! හරිද?,HATE,"අප්පිරියයි, අප්පිරිය, වගකීම ගන්න, බොරුව, බොරු, පතුරවනවා"
"ගුරුවරුන් අතුරින් කිහිපය පසුගිය කාලේදී අතිශය සරල වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
වෛද්‍යවරුන් ගැන ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා හෙළිවුණා කියලා කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"හෙළිවුණා, තහවුරු, වෙනස්, ප්රතිඵල, සත්යද තහවුරු කරගන්න, සත්යද තහවුරු"
"බ්ලොග් ලියන අය කීප දෙනෙක් සමහර වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
"දේශපාලකයන් කුඩා පිරිසක් සතියකට වරක් වගේ අධික වේගයෙන් වගේ පෙනෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
පොලිස් නිලධාරීන් ගැන කතා කරනකොට සාක්ෂි/දත්ත බලන්න ඕන. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,
පොලිස් නිලධාරීන් පසුගිය කාලේදී අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,
"දේශපාලකයන් ඇතුලේ කෙනෙක් කියනවා පිටරටවලින් මුදල් ගන්නවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"ඇතුලේ කෙනෙක්, සාක්ෂි, ඒකට, ඒකට හොඳ සාක්ෂි, හොඳ සාක්ෂි, ඒකට හොඳ"
"කාර්ය මණ්ඩලය කීප දෙනෙක් අවස්ථා කිහිපයකදී අපැහැදිලි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
ඔය කණ්ඩායම කරන වැඩෙන් මිනිස්සුන්ට අමාරු කරනවා. ආයෙම කරන්නේ නැතුව ඉන්න! නෙමෙයිද?,HATE,"කරන්නේ, කරනවා, කරන වැඩෙන්, වැඩෙන්, කරන, කණ්ඩායම"
පුවත් ආයතන ගැන ලෙඩක් හදාගෙන මිනිස්සු බය කරනවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"ඇතුලේ කෙනෙක්, තහවුරු, කරනවා, මිනිස්සු, සත්යද තහවුරු කරගන්න, සත්යද තහවුරු"
