Cleaned Text ,Label,Word Identified,Hate,Disinfo,Normal,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
kariyo thopea anduwala ratea diunuwata wadak kalada kariyo thopita andu karanna labennea nea,HATE,kariyo,1,0,0,,,,,
හැබැයි රෝයල් රෝයිස් කාර් ගේන්න පුලුවන්,DISINFO,,0,1,0,,,,,
badulla vitark newei pako lankawa ekama ratak topi wage gon uranta chande dena hon h putalata puke indan pissu,HATE,"gon, pissu, puke",1,0,0,,,,,
උවමනවක් තියෙනවනම් ඇයි බැරි,NORMAL,,0,0,1,,,,"topi wage, gon uranta, pissu",
dagli wasi paththata hoiya,NORMAL,,0,0,1,,,,ලප kota,
sangith kawadath apae paththa,NORMAL,,0,0,1,,,,"gu kana ura dan gonnu vikka, gu kapu kale, gu h puta",
anura meka goda danawa danawamai,NORMAL,,0,0,1,,,,kasippu naliya ,
man made disaster,NORMAL,,0,0,1,,,,"උඹේ අම්මට හුඛණ්ඩ, තොපි",
සහතික ඇත්ත සර්,NORMAL,,0,0,1,,,,රෙවෙනව,
lol npp ඉස්ස බිග් කුච්චෙන් ඇක්චුලි,NORMAL,,0,0,1,,,,"pachaya , gobba kota",
oya inne ape saho sir newai akd,NORMAL,,0,0,1,,,,kasippuwa,
naya cobr kiyala pennanna janadipati tumani,NORMAL,,0,0,1,,,,noogath pisso,
pinata evith dodawanwa pissu,NORMAL,,0,0,1,,,,බෙල්ලෙ වැල,
අරූ කතානායක නෙවෙයි ඌ බිමල් රත්නායක,NORMAL,,0,0,1,,,, criyek,
wasanthaua ge loku kama wadi wela mole na dan,NORMAL,,0,0,1,,,,පුකේ ගහගෙන,
රටට ආදරය කරන මිනිස්සු බුදු සරණයි,NORMAL,,0,0,1,,,,කාලකණ්නි,
පුණරුත්තාපන කෙරෙන්නත් ඕනේ නමුත් සේරටම කලින් සංගීත්ගේ යෝජනාව ක් රියාත්මක විය යුතුයි ඒක සිද්ද වෙනගමං අනික් රෝද ටිකත් ලස්සනට කැරකෙයි එතන තමයි මෝටරය තියෙන්නේ,NORMAL,,0,0,1,,,,පුකේ අරින්න,
sokari kolama wage chamaraya joker,NORMAL,,0,0,1,,,,,
අලුත් නීතිය ට එකගයි,NORMAL,,0,0,1,,,,,
නියම කතාව සර්,NORMAL,,0,0,1,,,,,
ඕව ඉතින් තමන්ගෙ කට්ටියගෙ බඩුනෙ ඕව ජනතාවට පෙන්නල ආපහු අයිති කාරයින්ට දෙනව ඒක තමයි තමන්ගෙ දේශපාලනයටත් හොදයි අයිතිකාරයින්ට ආපහු දුන්නම සල්ලිත් හම්බවෙනව ඒව දේශපාලනය කරන මිනිස්සුන්ගෙ සාක්කුවට තමයි මේ ක් රියාවලිය නිකන් වෙළඳ දැන්වීම් වාගෙ තමයි මොන තරම් වැටවල් බැන්දත් වෙළඳ පොලේ බඩු ඕනෑ තරම් තියෙනව බුදුදහම අනුව ජීවත් වීමට පුරුදු වුනොත් අපිට මත්ද් රව් ය අනවශ් යයි ඒත් මේ පාදඩයො බුදුදහමත් විනාශ කරනව,NORMAL,,0,0,1,,,,,
මෙන්න නියම ජනාධිපති,NORMAL,,0,0,1,,,,,
janathawage paththe edala,NORMAL,,0,0,1,,,,,
mu gu kana ura dan gonnu vikka pako apith badulle gu kapu kale iwarai wal baila gahanne natiwa pala pako gu h puta tisee topi hikuwada,HATE,"ura, gon, gu, pako",1,0,0,,,,,
බන් උබලා පොල් ගැවද උබලා බලේ හිටිය නේද එතකොට මොලේ තිබ්බේ හොරා කන්න විතරද,NORMAL,,0,0,1,,,,,
භික්කුච්චන්ද,NORMAL,,0,0,1,,,,,
ranjithnimal hire dapanko ithin,NORMAL,,0,0,1,,,,,
අම්මෝ චාමර මහත්තයෝ කියන්න වචනයක් නැ සුපිරි,NORMAL,,0,0,1,,,,,
ජනාධිපතිතුමාට ජයවේවා,NORMAL,,0,0,1,,,,,
මූ කියන ඒවා ඔක්කොම ඇත්ත,NORMAL,,0,0,1,,,,,
obe thumage kathawe sahathike aththe mahaththeyo obete thawe thawath hariyanneme oni chirath kaleyak jiwath wenne labenne oni ayusath aran jiwath vime wasenawe udawewa mahaththeyo,NORMAL,,0,0,1,,,,,
kasippu naliya ugema arakku beela ewith wage,HATE,kasippu naliya,1,0,0,,,,,
kuda ban arthika gathakaya une usaviyedi,DISINFO,,0,1,0,,,,,
chamarala wage kalakanni deshapaluwo aye mekata genna epa mu vitharak nemei thawa un innawa gennanam epa me ekekwath,HATE,kalakanni,1,0,0,,,,,
oyagen wena mokut epa kana haal walata jara weda karanna epa,NORMAL,,0,0,1,,,,,
මෙ විඩියො එක බලන්නෙත් සිකරැට් එකක් බොනගමන්,NORMAL,,0,0,1,,,,,
මං බලාගෙන ඉන්නෙ චාමරව වඩා ගන්නකම්,NORMAL,,0,0,1,,,,,
උඹේ අම්මට හුඛණ්ඩ හුඛණ්ඩ උඹේ තාත්තා මොකද කරේ තොපි අවුරුදු කීයක් කරාද ඇන ගනින්,HATE,"හුඛණ්ඩ, ඇන ගනින්",1,0,0,,,,,
මෙ ජනතාව ඉදිරියේ බුද්ධිමත් තීරණ ගනීවි නිහඩ මාලිමාව විතරයි ජනතාවට පිහිට ජනාධිපති තුමා අනුර විතරයි මීලඟ ජනාධිපති තුමා,NORMAL,,0,0,1,,,,,"kariyo thopea...,""HATE"",""kariyo thopea, thopita andu"""
ජනතාවගේ පැත්තෙ ඉඳගෙනනම් කතාකරන්නේ දැන්වත් ඔය කතාව නවත්තන්න මොකද අපේ පන්තියේ නායකයෙක් අපිට ඉන්නවා,NORMAL,,0,0,1,,,,,"badulla vitark...,""HATE"",""topi wage gon uranta, pissu"""
can t you increase the number of government analysts please,NORMAL,,0,0,1,,,,,...
elama chamara,NORMAL,,0,0,1,,,,,
බදුල්ල ජනතාවට හිස නමා ආචාර්ය කරනවා චාමර පාර්ලිමේන්තු එවපු එකට,NORMAL,,0,0,1,,,,,
media gana qwa hodama kotasa kapala daala,NORMAL,,0,0,1,,,,,
මේ අර වයිපරේ වැඩ නැති එකානේද සජියට විරුද්ධව විශ්වාසභංගයක් ගෙනාවනං සජබයියන්ට රෙවෙනව,HATE,රෙද්ද රෙවෙනවා,1,0,0,,,,,
big kucchan,NORMAL,,0,0,1,,,,,
නියමයි අගමැති තුම් යනි,NORMAL,,0,0,1,,,,,
nimal siripala pagakaraya mechchra kal monada kale wachala bada,HATE,pagakaraya,1,0,0,,,,,
ගොඩක් සතුටුයි මේ වගේ සැමදෙනාම හොදවැඩ වලට එකතුවෙලා රට ගිනිතියන්න එකතුවෙන කාලකන්නිගෙන් ඈත්වෙමු සුන්දර රට ලස්සන කරමු,NORMAL,,0,0,1,,,,,
siiya yananakota doler 292 den 212 sthawara bawayada me aya vipaksh innakota kale akul helapu kadakappal karapu den merila ipadila wage kaiy gahanawa,DISINFO,,0,1,0,,,,,
බ්ක්කුච්චන්,NORMAL,,0,0,1,,,,,
ammo,NORMAL,,0,0,1,,,,,
niyamai janadipathi thuma,NORMAL,,0,0,1,,,,,
අදහස් වලට සවන් දී ඒකද ගන්න ඕන විසඳුමක් හරි හික්මීමෙන් ද කරන්න වෙර දරන නිහතමානි නායකයෙක්,NORMAL,,0,0,1,,,,,
pachaya gobba kota,HATE,pachaya,1,0,0,,,,,
peradunama higakapiya,NORMAL,,0,0,1,,,,,
දෙරණෙ කොහොම දානවද මන්දා මේ news අරෙහෙ රොටියා මහනායක හාමුදුරුවන්ගෙන් වචනයක් ගන්න ට් රයි කරනව,NORMAL,,0,0,1,,,,,
මාරම සතුටුයි අපි ඔබ සමගයි සංගීත් අයියා එකෙන්ම respect තමන්ගේ වාසියට දේශපාලුවන්ගේ පුකේ එල්ලිලා වැද වැද දෙයියෝ බුදුන්ට සමාන කර කර ඉන්න පාදඩ කලාකරුවෝ දැක්කම ඔබ ගැන හැගෙන දේ කියා නිම කරන්න බෑ ඔබලට පිං,NORMAL,,0,0,1,,,,,
චාමර සම්පත්,NORMAL,,0,0,1,,,,,
dan balamu katada parlimenthu enna onnae,NORMAL,,0,0,1,,,,,
තිත්ත ඇත්ත හරියට එලියට එන news,NORMAL,,0,0,1,,,,,
ආයේ ආණ්ඩු හැදෙන්නෑ,NORMAL,,0,0,1,,,,,
kasippuwa,HATE,kasippuwa,1,0,0,,,,,
මාලිමාව නැත්නම් අල්ලයි ස්කුල් ලමයින්ගෙ ඹෑග්,NORMAL,,0,0,1,,,,,
appiriyay mey wagey aya uththareethara sabawata yawana noogath pisso thawa lankawey innawaney chik witharak kisi ugath kamak nathi baanda mung mung hondai bajar ekey badu adinna,HATE,"pisso, badu",1,0,0,,,,,
නාමල් ඔය සාටකයේ බෙල්ලෙ වැල දාගනින්,HATE,බෙල්ලෙ වැල දාගනින්,1,0,0,,,,,
niyamai hadawathinma api udawu karanawa,NORMAL,,0,0,1,,,,,
balapan yako me vage kathavak hari eka ජනාධිපති kenek me taak kal bihivela tiyeida sangeeth ayye onna oya karana vede hari lagama idala hodama de karanna api oyat ekka,NORMAL,,0,0,1,,,,,
akdමෛත්රීපාල ammo meya nm criyek wgee,HATE,criyek,1,0,0,,,,,
ජනාධිපති තුමනි ඔබ ඉන්න තැන නියමයි නමුත් ඔබේ යටතේ ඉන්න ඇමතිල තාම ගේමට බැහැල නෑ,NORMAL,,0,0,1,,,,,
අනිවාර්යෙන්ම,NORMAL,,0,0,1,,,,,
dudley akd ogollange hadawath watala kathakaranna wedikal duwanne naha nilame thumo katharagama wikunagena kanna hithuwanam maradagahamuli hal mila theeranaya wana awanka janathawadi goviyata hithawath sathyadhahama wiwrutha wana kalaya uda wewa akd dudley kathnoruwe hamuduruwo katharagama nava nilame balagena innawa nihandawa minissu rata harak thamana winasa karana ewunta hure dana profit loss ekak pennanna hal mila wedi karanakal loss eta passe rolls royce adi paribhojana rata ya denne naha helicoptereth akd labana sathiye indan kulita gani rajayata solar eclipce 17n pasuwa balamu,DISINFO,,0,1,0,,,,,
හොද වැඩේ විපක්ශෙ උන්ට,NORMAL,,0,0,1,,,,,
amatikale uba baluwe nane,NORMAL,,0,0,1,,,,,
මූට තියෙන්නේ ඉරිසියාවයි කුහකකමයි දෙක බේරෙනව මුළු කතාව පුරාම,NORMAL,,0,0,1,,,,,
amo,NORMAL,,0,0,1,,,,,
බංකොලොත් වෙනකල් හොරකම් කරලා මුගේ කටේ සද්දේ මිනිස්සු ලක්ෂ ගානාක් පාරට ඇවිත් පවුල් පිටින් එලෙව්වා තවම මුංගේ හොාරකමක් හොයා ගන්න බැයිද,DISINFO,,0,1,0,,,,,
university i,NORMAL,,0,0,1,,,,,
මුනගෙ කයිය විතරයි ඔය කයිය වගේ වැඩ තිබ්බ නම් මුන්ට දැන් තමයි කටවල් ඇරිල තියෙන්නෙ රාජපක්ෂලල ඉද්දි නැට්ට පුකේ ගහගෙන හිටියේ දැන් පුදුම ආදරයක් තියෙන්නෙ මිනිස්සුන්ට පව් බලේ රැක ගන්නනෙ ඉතින්,HATE,පුකේ ගහගෙන,1,0,0,,,,,
මුන් ඔක්කොම ආන්ඩුපක්ශය හා විපක්ශය ජෝකර් වෙලා රටට කෙලිනව මුන් එකෙක්වත් අනුරය ගහපු ඉන්දියානු චීන ගිවිසුම් ගැනහූම් කියන්නෙ නෑ ඇමෙරිකානු mcc මිලිටරි මිණීමරැ කොරිදෝව ගැන කන්ටේ නර් ගැන අල ලූණු වී ගොවියන් ගැන කථා නෑ රටේ දරැවන් සමරිසි කරන එක බෞද්ධ ජන බලයට කෙලින රටට කෙලින එක ගැන කථා කඑන්නෙ නෑඋනුයි මුනුයි එක එකාගෙ විකෘති කාමයන් ගැන ජනථා බදු මුදලින් පාර්ලිමේ න්තුවෙ ඩෙගා නටනව කාලකණ්නි දැන ගෙනම රටට කෙලවනව තුං නොදෝකින්,HATE,"කාලකණ්නි, සමරිසි",1,0,0,,,,,
අම්මෝ නාමල්ටනම් තනිකරම පිස්සු හැදිල ඉන්නෙ,NORMAL,,0,0,1,,,,,
jvp karayyo deshapalanaya karanawanan english panthiyakata palayalla oya thiyenne dina n katha karawanawai kiyala,NORMAL,,0,0,1,,,,,
agree,NORMAL,,0,0,1,,,,,
ටිල්විං ඩයි මයිනව ගෙනල්ලා ඉස්සරහා තියලා පුකේ අරින්න තියෙන්නෙ,HATE,පුකේ අරින්න,1,0,0,,,,,
full video url please,NORMAL,,0,0,1,,,,,
හොරු ඔච්චර පොහොසත් උනේ ඕන විදියට වරප් රසාද ලබාගත්ත තමයි බොහෝ දේවල් කප්පාදු කල යුතුයි,NORMAL,,0,0,1,,,,,
ඉදිරියටම යන්,NORMAL,,0,0,1,,,,,
db v f you should realise this is the reason why the opposition has lost the election because of their arrogance and subversive behaviour even with many parties united now against the government they still don t have the majority of the votes,NORMAL,,0,0,1,,,,,
මේක දැම්ම දෙරණත් මේවා මතක තියාගත්තනම් හොදා මොකද news වලින් ඔක්කොම කියන්නේ මිනිස්සුන්ගේ මනස අව්ල් දේවල් මොරාල් වට්ටන දේවල් ඒවා අහන ඇහෙන මිනිස්සුගෙ ඔලුවලින් රටගැන තරහා මිසක් හොදක් හිතන්නේනෑ ගෙදර දෙරන news බලන්න දෙන්නෙවත් නෑ හොද දේවලුත් පෙන්නන්න වෙනුවෙන්වත්,NORMAL,,0,0,1,,,,,
මම බදුල්ලේ මම හිටියේ උන රිප්ප ගහලා පොඩි කාමරයේ ලමයි ක් පවුලයි මෙකා චාමර අහක බලා ගියා,NORMAL,,0,0,1,,,,,
අනුර තොගෙ බයිලා එපා,NORMAL,,0,0,1,,,,,
යකෝ පබාත් විශ් රාම වැටුප නවත්තන්න කියා ඒක මෙි වැටුන රටකට බරක් කියාත් දයාවති ජයසේකර උබලා ප් රකෝටි ගනන් හොරකමි කරපුවාගෙන් ජිවත් වෙයන් අවජාතක හොර හැත්ත එක්ක හැම ආන්ඩුවකම කත් ඇදලා විශ් රාම වැටුපත් ගන්න,HATE,අවජාතක,1,0,0,,,,,
pension is fundamental right of all should only the rich enter politics it is contradiction for republican government to prevent it if there is mistake in transportation it should be fixed the road can not be closed many teachers doctors many others receive government salaries but work in the private sector then can everyone pension be stopped,NORMAL,,0,0,1,,,,,
thopi wage horu innakota kohomada pako rata diunuwenne,NORMAL,,0,0,1,,,,,
ඉස් අ බිග් කුච්චන් කෝකෝ,NORMAL,,0,0,1,,,,,
pen parai parn eriya,NORMAL,,0,0,1,,,,,
මාලිමාව එහෙම system හදලා තියෙනනම් උඹලට එහෙම system හදාගන්න බැරිනම් ඒක උඹලගෙ නොහැකියාවනෙ ඒක නේද මේ ප් රසිද්ධියෙම කිව්වේ,NORMAL,,0,0,1,,,,,
ඇත්තටම මාර සතුටක් දැනෙනවා මේ වගේ වැදගත් බුද්දිමත් මනුස්සයෙක් අපේ රටේ පාලකයා උන එක,NORMAL,,0,0,1,,,,,
chillestguyever you say the opposition is always shouting but are you ignoring the fact that the ruling party shouts just as much sometimes even worse they drown out the debate like a herd of cows making it impossible for anyone to have a proper discussion when they keep interrupting how can opposition members even express their opinions or points doesn t that also matter or do you only see one side,NORMAL,,0,0,1,,,,,
හාල් මිල රුපියල් දහයක් අඩු කරන්න කෝ ඉස්සර වෙලාම වගේම වැඩ තියෙනවා,NORMAL,,0,0,1,,,,,
oya vedio ake sorce akath sajithda,NORMAL,,0,0,1,,,,,
මුගේ කාලකණ්නි සිරිසේනයා රටට කෙලෝපු එක මූට අමතකයි,HATE,කාලකණ්නි,1,0,0,,,,,
220 හාල් 230 කරල දුන්නට මූ අනුරට හොදට සලකනවා,DISINFO,,0,1,0,,,,,
london වල apartment තියෙන්නේ කාගේ නමටද,NORMAL,,0,0,1,,,,,
chandrika medam karanna ona de kala kiyanna ona de kiwa,NORMAL,,0,0,1,,,,,
220 හාල් 230 කරල දුන්නට මූ අනුරට හොදට සලකනවා,DISINFO,,0,1,0,,,,,
sangeeth sahodaraya ge yojanawa hariyatama hari janathawata ahun kan dena janadipathi kenek apita enne,NORMAL,,0,0,1,,,,,
janapthita higanno kiyana ekata nadu dannath puluwan janapathi katha karanakota ahagena inna janathwa kamathii,NORMAL,,0,0,1,,,,,
ela kiri niyama ura gon pakaya munta dunnith apita wale wal ne mu wagema lankawe tamath gon pakaila tikak inna bawa oenawa lajjai yako urange gu uro,HATE,"ura, gon pakaya, gu uro",1,0,0,,,,,
fortunately akd won the president election,NORMAL,,0,0,1,,,,,
හම්බන්තොට ජාත් යන්තර සම්මන්ත් රණ ශාලාව මත්තල එයාපෝට් එක හදල ගත්තු රැඩිකල් තීරණ වලින් උඹල කරපු සංවර්ධනය පොඩ්ඩක් කියපම්කො නාමල් මහත්තයො පොඩ්ඩක්,NORMAL,,0,0,1,,,,,
මේ කථා ජෙප්පංගෙං ළඟදී luxury apartment සුඛෝපභෝගී මහල් නිවසක් ලැබුනේ කාටද එයාටද ටික ලෝ කියන්නේ,NORMAL,,0,0,1,,,,,
ඔය මෑමලයා කොමිස් ගහගන්න නැතුව මරු කියවනවා ඕකට ගූ ගහලා එලවන්න ඕනෙ මෑ මල,HATE,ගූ ගහලා එලවන්න,1,0,0,,,,,
මෙහෙම කරන්න එපා බඩු හිඟ වුනාම අපි ගහන්නෙ මොනව ද,NORMAL,,0,0,1,,,,,
