text,label,flag_words
"සමාජ මාධ්‍ය පරිශීලකයන් සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් ඇතුලේ කෙනෙක් කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"ඇතුලේ කෙනෙක්, රහස්"
ඔය කණ්ඩායම සහමුලින්ම මෝඩ තීරණ. දැන්ම හදාගන්න! නෙමෙයිද?,HATE,මෝඩ
"වෛද්‍යවරුන් සමහර සතියකට වරක් වගේ පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,
"ගුරුවරුන් සමහර සතියකට වරක් වගේ අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
"ඇතුලේ කෙනෙක් කියනවා සමාජ මාධ්‍ය පරිශීලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,ඇතුලේ කෙනෙක්
"ගුරුවරුන් රහසේ පාලනයක් තියෙනවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහසේ, හෙළිවුණා, පාලනයක්"
ඔය ටීම් එක කියන දේ අහන්නත් අමාරුයි. හරිම පිළිවෙලක් නෑ. කඩිනම්ව වෙනස් වෙන්න! ඉතින්.,HATE,අමාරුයි
වෛද්‍යවරුන් ඇතැම් අවස්ථාවල අවධානය අඩු වගේ වගේ හැඟෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,
"පොලිස් නිලධාරීන් කිහිපදෙනෙක් වෙන වෙන වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,
ඔයාලා ඇත්තටම අදාල නැති වැඩ නේද? නවත්තන්න! නෙමෙයිද?,HATE,"නවත්තන්න, අදාල නැති"
"පොලිස් නිලධාරීන් කීප දෙනෙක් සතියකට වරක් වගේ පක්ෂපාති වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
වෘත්තීයවේදීන් අදාල තත්ත්වය අනුව අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,
"සමාජ මාධ්‍ය පරිශීලකයන් කියනවා සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක්, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,රහස්
මේක ඔය කණ්ඩායමගේ පුරුද්දක් වගේ—ඇත්තටම නරකයි නෙමෙයිද?,HATE,
"වෘත්තීයවේදීන් ගැන අදහස් වෙනස් වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
ඔයා වැඩේ ඇත්තටම හරිම අප්පිරියයි. බොරුව පතුරවනවා. වගකීම ගන්න! හරිද?,HATE,"අප්පිරියයි, බොරුව, පතුරවනවා"
"ගුරුවරුන් අතුරින් කිහිපය පසුගිය කාලේදී අතිශය සරල වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
වෛද්‍යවරුන් ගැන ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා හෙළිවුණා කියලා කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,හෙළිවුණා
"බ්ලොග් ලියන අය කීප දෙනෙක් සමහර වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
