id,text,label
1,මට හිතෙන්නේ අපරාධ ගැන WhatsApp message එකක් එක බලලා fact-check කරන්න කරන්න හිතුවා. 😐,NORMAL
2,ඉදිරියට දවස් 3ක් ඇතුළත අම්පාර පැත්තේ කහ එකෙන් සේවාව නවතින්න බලපානවා. pdf එකක් වගේ. දැනටමත් වැඩ පටන් ගෙනලු. forum post එකක් එකෙන්ම ආවාලු!,DISINFO
3,මගේ දවසම خراب කරලා දැම්මා. ඔයාගේ වැඩේ හරිම බූරුවා. ඇති දැන්. pls,HATE
4,ඔයා වගේ අය එක්ක වැඩ කරන්නේ දුෂ්කරයි—හරිම කලබල. නතර කරපන්. FYI,HATE
5,ඔයා වගේ අය එක්ක වැඩ කරන්නේ දුෂ්කරයි—හරිම නොදන්නා. fact-check,HATE
6,අලුත් report එකකට අනුව විදුලි කප්පාදුව එකෙන් වයිරස් නැතිවීම වෙනවා—167kක් වගේ case වෙලා තියෙනවාලු. ඒ නිසා සූදානම් වෙන්නලු. කුරුණෑගලටත් එනවාලු,DISINFO
7,🙂 අලුත් report එකකට අනුව පාසල් නිවාඩු එකෙන් වයිරස් නැතිවීම නවතී—250ක් වගේ case වෙලා තියෙනවාලු. media එක දාන්නේ නැහැලු…,DISINFO
8,විදුලි කප්පාදුව එකෙන් ගාස්තු වැඩිවීම අඩුවෙනවා කියලා inside info එකක් ආවාලු. මේ සතිය ඇතුළත. කවුරුත් කියන්නේ නැහැලු. 📌,DISINFO
9,🧠 ඔය කියන 5G එකෙන් දුරකථන කට් වෙන්න බලපානවා ගැන මම දන්නෙ නැහැ; නිල ආරංචි බලමු. නිල නිවේදනයක් එනකම් ඉන්න එක හොඳයි.,NORMAL
10,මිරිස් එකෙන් දුරකථන කට් වෙන්න සිද්ධ වෙනවා කියලා inside info එකක් ආවාලු. අද සවස. කවුරුත් කියන්නේ නැහැලු.,DISINFO
11,මේ වගේ proof කතා පතුරවන්නෙ නැතුව ඉන්න. ටිකක් හිතලා කතා කරලා බලන්න. එපා මචං. bro,HATE
12,අද මම ඔෆිස් එකට ගිහින් ඇපල් දෙකක් අරගෙන ආවා. පස්සේ විවේක ගන්න කළා. ඇත්තටම මට සැකයි.,NORMAL
13,මම FB post එකක් එකකින් ආර්ථිකය ගැන අහලා දැන් fact-check කරන්න කරන්න හිතුවා. ඇත්තටම මට සැකයි?! 🧠 fact-check,NORMAL
14,මේ වගේ fake news පතුරවන්නෙ නැතුව ඉන්න. ටිකක් හිතලා කතා කරලා බලන්න. නතර කරපන්!!,HATE
15,බදුල්ල වලින් පටන් ගන්නවාලු: ගෑස් එකෙන් දුරකථන කට් වෙන්න වැඩි වෙනවා. හෙට. ඒ නිසා සූදානම් වෙන්නලු. අද ඊළඟ මාසෙටම කියලා.,DISINFO
16,අනිද්දා හම්බන්තොට පැත්තේ තේ එකෙන් වයිරස් නැතිවීම වෙනස් වෙනවා. screen shot එකක් තිබ්බා. කවුරුත් කියන්නේ නැහැලු.,DISINFO
17,ඔයාගේ කතා අහලා ඉන්න බෑ—ඒකෙ කිසිම තේරුමක් නෑ. ඇති දැන්! ok,HATE
18,ඔයාට ලජ්ජා නැද්ද? මෙච්චර explain කළාමත් තේරෙන්නෙ නැද්ද? මට නම් ඉවසගන්න බෑ. bro,HATE
19,මාධ්‍ය හංගනවාලු: සුදුළූණු එකෙන් රෝගය පාලනය හම්බ වෙනවා. මේ සතිය ඇතුළත ඉඳන් බලපායිලු. ඒ නිසා සූදානම් වෙන්නලු… 🗣️,DISINFO
20,මගේ දවසම خراب කරලා දැම්මා. ඔයාගේ වැඩේ හරිම කරදරකාර. මට නම් ඉවසගන්න බෑ. bro,HATE
21,මගේ දවසම خراب කරලා දැම්මා. ඔයාගේ වැඩේ හරිම අලස?! 📌 update,HATE
22,කෙනෙක් කියනවා ගෑස් එකෙන් නව නීතියක් එන එක අඩුවෙනවා කියලා. එයාට අයත් audio එකක් circulate වෙලා එකත් තිබ්බාලු.,DISINFO
23,කෙනෙක් කියනවා SMS එකෙන් ආරක්ෂාව 100% බලපානවා කියලා. එයාට අයත් pdf එකක් වගේ එකත් තිබ්බාලු. අනිවාර්යයිලු. WHO එක්ක කතා වෙලා දැනගත්තාලු!!,DISINFO
24,💬 මේ වගේ leak කතා පතුරවන්නෙ නැතුව ඉන්න. ටිකක් හිතලා කතා කරලා බලන්න. ඇති දැන්. fact-check,HATE
25,අපරාධ ගැන කෙනෙක් තෙල් එකෙන් මතකය අඩුවීම වෙනවා කියලා කියනවා. මට තව evidence ඕනේ. 🙄 fact-check,NORMAL
26,මේක දැනගන්න: ලෙමන් එකෙන් දුරකථන කට් වෙන්න හම්බ වෙනවා. වීඩියෝ clip එකක්. ඉක්මනටම වෙනස් වෙයිලු. අද ඊළඟ මාසෙටම කියලා,DISINFO
27,මේ වගේ fake news පතුරවන්නෙ නැතුව ඉන්න. ටිකක් හිතලා කතා කරලා බලන්න?! 😐,HATE
28,"අනේ සිරාවටම, ඔයා ඉවසන්න බැරි නේද? තේරුම් ගන්නකෝ. source",HATE
29,"අනේ සිරාවටම, ඔයා අමාරු නේද? තේරුම් ගන්නකෝ. මට නම් ඉවසගන්න බෑ update",HATE
30,😑 මම TikTok video එකක් එකකින් අපරාධ ගැන අහලා දැන් fact-check කරන්න කරන්න හිතුවා. අදට තියෙන්නේ එච්චරයි?!,NORMAL
31,කෙනෙක් කියනවා lockdown එකෙන් නව නීතියක් එන එක බලපානවා කියලා. එයාට අයත් report එකක් කියලා file එකක් එකත් තිබ්බාලු. 🗣️,DISINFO
32,🙄 මට සැකයි මේ වගේ කතා ගැන ඉක්මනට තීරණ නොගන්න එක හොඳයි. මිතුරන්ගෙන් අහන්න. අදට තියෙන්නේ එච්චරයි?!,NORMAL
