post_id,text,tokens,rationales,label,rationales_list,hate word,Hate
1287007317968355328,පෙරලෙන ගලේ කිසිවිට නොබැඳෙයි පාසී බැඳි ආලයක් නැත වෙන්කෙරුමට ලේසී රුපියල්වලින් තොට මං කොච්චර දුන්නද කාසී වෙනකෙකු පතනවද දැන් තී පර වේසී  ඉස්සර මනුස්සයෙක් බූට් එකක් කෑවා ලු. කඩපිළට වෙලා ඉන්නකොට ඒ ගෑනු කෙනා ආවලු කඩේට. මිනිස්සුත් හිටියලු. ඇහෙන්නම කිව්වලු..   #හිටිවන,පෙරලෙන ගලේ කිසිවිට නොබැඳෙයි පාසී බැඳි ආලයක් නැත වෙන්කෙරුමට ලේසී රුපියල්වලින් තොට මං කොච්චර දුන්නද කාසී වෙනකෙකු පතනවද දැන් තී පර වේසී ඉස්සර මනුස්සයෙක් බූට් එකක් කෑවා ලු . කඩපිළට වෙලා ඉන්නකොට ඒ ගෑනු කෙනා ආවලු කඩේට . මිනිස්සුත් හිටියලු . ඇහෙන්නම කිව්වලු . . # හිටිවන,[],NOT,[],,0
1198620431126683649,"11/2019 #SriLanka Polls Alert: #tamil  Homeland concept emerges URL ඔන්න අපි එහෙම නෙමෙයි කියන්නේ. රනියයි, සජියයි, මුස්ලිම් සෙට් එකයි කොරපු වැඩෙන් ලකුණු ලැබුනේ කාටද කියලා බලපල්ලා. තොපි කතිරේ දීලා තියෙන්නේ මේ රට කොටියට දෙන්න නොවේද ? ලජ්ජා වෙයල්ලා උඹලා  @USER","11 / 2019 # SriLanka Polls Alert : # tamil Homeland concept emerges URL ඔන්න අපි එහෙම නෙමෙයි කියන්නේ . රනියයි , සජියයි , මුස්ලිම් සෙට් එකයි කොරපු වැඩෙන් ලකුණු ලැබුනේ කාටද කියලා බලපල්ලා . තොපි කතිරේ දීලා තියෙන්නේ මේ රට කොටියට දෙන්න නොවේද ? ලජ්ජා වෙයල්ලා උඹලා @USER",[],OFF,[],,1
1070554917453131776,කැත වැඩ කරපු සෝමේ : කරූට වැඳ සමාව අරගෙන ! URL,කැත වැඩ කරපු සෝමේ : කරූට වැඳ සමාව අරගෙන ! URL,[],NOT,[],,0
1037537515811393536,@USER  @USER බෝතල් ගොඩක් කුඩුකරලා මේ දැනුත් පේමන්ට් වල කොටුවේ..කබ්බ දාල හුජ්ජ කරලා ගන්න දෙයක් නෑ පේමන්‍ට් එක..,@USER @USER බෝතල් ගොඩක් කුඩුකරලා මේ දැනුත් පේමන්ට් වල කොටුවේ . . කබ්බ දාල හුජ්ජ කරලා ගන්න දෙයක් නෑ පේමන්‍ට් එක . .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","කබ්බ, දාල, හුජ්ජ, කරලා",1
1064631409564893185,@USER පාර්ලිමේන්තුවේ ඉන්න පිස්සු ටික මදිකමට මේ දෙන්නත් පිස්සු දොඩවනවා...  #CoupLK #ConstitutionalCrisisSriLanka #ImpeachSirisena,@USER පාර්ලිමේන්තුවේ ඉන්න පිස්සු ටික මදිකමට මේ දෙන්නත් පිස්සු දොඩවනවා . . . # CoupLK # ConstitutionalCrisisSriLanka # ImpeachSirisena,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","පිස්සු, පිස්සු",1
1189192459466625025,@USER  @USER ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ. ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ. දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1/2,@USER @USER ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ . ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ . දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1 / 2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","වහල්, පොන්න, වේස, කැරි, හුකන, හුත්තිගෙ, හුකන්න, පකයෙක්, ජංගිය, ඇට",1
1040250935144923137,සමහර විට ඒකි දැනටමත් වෙන එකෙක් බැදලද දන්නෙ නෑ.. ගම්ම @USER  · 12 Sep 2018 මම බදින කෙල්ල මොන වගේ වෙයිද..,සමහර විට ඒකි දැනටමත් වෙන එකෙක් බැදලද දන්නෙ නෑ . . ගම්ම @USER 12 Sep 2018 මම බදින කෙල්ල මොන වගේ වෙයිද . .,[],NOT,[],,0
590396677397164033,@USER @USER  උත්තරිතර අධිකරණයත් කොල පාට වෙලා අනේ අපේ රටෙ අගාධයක,@USER @USER උත්තරිතර අධිකරණයත් කොල පාට වෙලා අනේ අපේ රටෙ අගාධයක,[],NOT,[],,0
994138021661298688,@USER පයිය හඩයි ලීසා නිහඩයි,@USER පයිය හඩයි ලීසා නිහඩයි,"[0, 1, 0, 0, 0]",OFF,"[0, 1, 0, 0, 0]",පයිය,1
938410031418134528,@USER පල ඩෝ යන්න අඩු කුලේ පර හැත්ත,@USER පල ඩෝ යන්න අඩු කුලේ පර හැත්ත,"[0, 1, 1, 0, 1, 1, 1, 1]",OFF,"[0, 1, 1, 0, 1, 1, 1, 1]","පල, ඩෝ, අඩු, කුලේ, පර, හැත්ත",1
