text,label,flag_words_strict,explanation
"සමාජ මාධ්‍ය පරිශීලකයන් සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් ඇතුලේ කෙනෙක් කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහස, ඇතුලේ කෙනෙක්, ඇතුලේ",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය කණ්ඩායම සහමුලින්ම මෝඩ තීරණ. දැන්ම හදාගන්න! නෙමෙයිද?,HATE,මෝඩ,Matched hate/harassment lexicon (insults/commands/threat markers).
"වෛද්‍යවරුන් සමහර සතියකට වරක් වගේ පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"ගුරුවරුන් සමහර සතියකට වරක් වගේ අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"ඇතුලේ කෙනෙක් කියනවා සමාජ මාධ්‍ය පරිශීලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ, තහවුරු",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"ගුරුවරුන් රහසේ පාලනයක් තියෙනවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහස, රහසේ, හෙළි, හෙළිවුණා, පාලනය",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය ටීම් එක කියන දේ අහන්නත් අමාරුයි. හරිම පිළිවෙලක් නෑ. කඩිනම්ව වෙනස් වෙන්න! ඉතින්.,HATE,වෙනස් වෙන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
වෛද්‍යවරුන් ඇතැම් අවස්ථාවල අවධානය අඩු වගේ වගේ හැඟෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පොලිස් නිලධාරීන් කිහිපදෙනෙක් වෙන වෙන වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයාලා ඇත්තටම අදාල නැති වැඩ නේද? නවත්තන්න! නෙමෙයිද?,HATE,"අදාල නැති, නවත්ත",Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
"පොලිස් නිලධාරීන් කීප දෙනෙක් සතියකට වරක් වගේ පක්ෂපාති වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
වෘත්තීයවේදීන් අදාල තත්ත්වය අනුව අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"සමාජ මාධ්‍ය පරිශීලකයන් කියනවා සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක්, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,රහස,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
මේක ඔය කණ්ඩායමගේ පුරුද්දක් වගේ—ඇත්තටම නරකයි නෙමෙයිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"වෘත්තීයවේදීන් ගැන අදහස් වෙනස් වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයා වැඩේ ඇත්තටම හරිම අප්පිරියයි. බොරුව පතුරවනවා. වගකීම ගන්න! හරිද?,HATE,"අප්පිරිය, බොරු, වගකීම ගන්න",Matched hate/harassment lexicon (insults/commands/threat markers).
"ගුරුවරුන් අතුරින් කිහිපය පසුගිය කාලේදී අතිශය සරල වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
වෛද්‍යවරුන් ගැන ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා හෙළිවුණා කියලා කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"හෙළි, හෙළිවුණා, තහවුරු",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
