post_id,text,tokens,rationales,label,rationales_list,hate_words,hate
1485491523236118532,@USER එන්නත් කිරීම ගැන දෙපාරක් හිතන්න ඕනේ මන්ද මෙයත් එක්තරා කුමන්ත්‍රණය විය හැකි නිසා,@USER එන්නත් කිරීම ගැන දෙපාරක් හිතන්න ඕනේ මන්ද මෙයත් එක්තරා කුමන්ත්‍රණය විය හැකි නිසා,[],NOT,[],,0
861212461185290242,අපෙ අම්මා ඉතා සුදුයි අපෙ අප්පා ටිකක් කලුයි අපෙ මල්ලී හෙන ගොබ්බයි අපෙ බල්ලා වෛවර්ණයි,අපෙ අම්මා ඉතා සුදුයි අපෙ අප්පා ටිකක් කලුයි අපෙ මල්ලී හෙන ගොබ්බයි අපෙ බල්ලා වෛවර්ණයි,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ගොබ්බයි,1
942343996361154566,Awwwwww  I love this. පිටිපස්සෙන්  @USER  ඉන්න නිසා පොඩ්ඩක් කැත වෙලා. #ගයියා @USER  · 17 Dec 2017 අඩේ this is nice  Thankx @USER for the click. චූටි කෝමද මේක #TweetupSL,Awwwwww I love this . පිටිපස්සෙන් @USER ඉන්න නිසා පොඩ්ඩක් කැත වෙලා . # ගයියා @USER 17 Dec 2017 අඩේ this is nice Thankx @USER for the click . චූටි කෝමද මේක # TweetupSL,[],NOT,[],,0
627324568370176001,ඔක්කොම කටට දාගන වගේ නේ The following media includes potentially sensitive content. Change settings View,ඔක්කොම කටට දාගන වගේ නේ The following media includes potentially sensitive content . Change settings View,[],NOT,[],,0
1464958759357267976,"@USER So , is that Gotha responsible for it , crazy , හරියට ගෑස් ලිපක් අරගෙන පාවිච්චි කරපන් බූරුවො එතකොට ඕක පුපුරක් නැතුව ඇයි හැමදේටම රජය තමයි වගකියන්න ඕනේ අනේද කියන්නේ මුන් නම් පුත්තලම් බූරුවො ජාතියක් මේ ලංකාවේ ඉන්නේ","@USER So , is that Gotha responsible for it , crazy , හරියට ගෑස් ලිපක් අරගෙන පාවිච්චි කරපන් බූරුවො එතකොට ඕක පුපුරක් නැතුව ඇයි හැමදේටම රජය තමයි වගකියන්න ඕනේ අනේද කියන්නේ මුන් නම් පුත්තලම් බූරුවො ජාතියක් මේ ලංකාවේ ඉන්නේ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",OFF,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","බූරුවො, පුත්තලම්, බූරුවො",1
1420806463182675969,@USER අපෙ සාප වගෙ තමා උන්ගෙ සාපෙ රෝහිත් කෝලී උන් හෙන ඇටිටියුඩ් එකෙ ඉන්නෙ උන් ඉන්නකොට ටීම් එකත් හෙන ඔලුවෙන් ඉතිබ්,@USER අපෙ සාප වගෙ තමා උන්ගෙ සාපෙ රෝහිත් කෝලී උන් හෙන ඇටිටියුඩ් එකෙ ඉන්නෙ උන් ඉන්නකොට ටීම් එකත් හෙන ඔලුවෙන් ඉතිබ්,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",OFF,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","සාප, සාපෙ",1
1048755757053689856,මාතර අහස අයින් කරා නම් හෙනම වල් කවියක් P I N K Z♡ @USER  · 6 Oct 2018 මාතර අහස...   . . . ඔයා නෝටියා... . . තෙමුවා නේද මාව.... . . වල් කොල්ලා . . කමන්නෑහ්.. මගේනෙ,මාතර අහස අයින් කරා නම් හෙනම වල් කවියක් P I N K Z♡ @USER 6 Oct 2018 මාතර අහස . . . . . . ඔයා නෝටියා . . . . . තෙමුවා නේද මාව. . . . . . වල් කොල්ලා . . කමන්නෑහ් . . මගේනෙ,[],NOT,[],,0
889833204294627328,කලවා ප්‍රදේශයෙන් යන්ත්‍රයට සංඥා නිකුත් වූ නිසා CNN නිවේදිකාවට ආරක්ෂකයින් කල කැත වැඩේ සම්පූර්ණ ලිපිය මෙතනින්... URL,කලවා ප්‍රදේශයෙන් යන්ත්‍රයට සංඥා නිකුත් වූ නිසා CNN නිවේදිකාවට ආරක්ෂකයින් කල කැත වැඩේ සම්පූර්ණ ලිපිය මෙතනින් . . . URL,[],NOT,[],,0
1084451729192570880,@USER බස් පයිය මොනවගේද අයියා,@USER බස් පයිය මොනවගේද අයියා,"[0, 0, 1, 0, 0]",OFF,"[0, 0, 1, 0, 0]",පයිය,1
1097702647082020864,කෙල්ලෙක් හිනාවෙලා අතල් එකේ ඉන්නකොට එකිට බඩුව කියන්න එපා බං,කෙල්ලෙක් හිනාවෙලා අතල් එකේ ඉන්නකොට එකිට බඩුව කියන්න එපා බං,[],NOT,[],,0
