post_id,user_id,source,text,label
post_1,user_29,facebook,Meeting එක 5pm ට move කරමු,NORMAL
post_2,user_58,twitter,ඔයා influencers වගේ behave කරනවා 😂,HATE
post_3,user_152,news_portal,ඔයා politicians වගේ behave කරනවා 😂,HATE
post_4,user_56,twitter,influencers ලා always complain කරනවා lol,HATE
post_5,user_144,twitter,officials ලා always complain කරනවා lol,HATE
post_6,user_115,youtube,ඔයා students වගේ behave කරනවා 😂,HATE
post_7,user_109,youtube,Meeting එක 5pm ට move කරමු,NORMAL
post_8,user_56,youtube,ඔයා politicians වගේ behave කරනවා 😂,HATE
post_9,user_25,youtube,Research කියනවා fuel prices harmful කියලා but media hide කරනවා,DISINFO
post_10,user_12,news_portal,Experts කියනවා 5G towers causes long-term damage allegedly,DISINFO
post_11,user_21,youtube,Experts කියනවා economic reform causes long-term damage allegedly,DISINFO
post_12,user_50,facebook,අද weather එක nice වගේ 😊,NORMAL
post_13,user_59,youtube,අද weather එක nice වගේ 😊,NORMAL
post_14,user_26,news_portal,මට හිතෙන්නේ officials ගැන rethink කරන්න ඕන,HATE
post_15,user_94,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_16,user_54,youtube,මෙම vaccine එකෙන් 90% people sick වෙනවා කියලා කියනවා 🤔,DISINFO
post_17,user_44,twitter,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_18,user_98,youtube,Experts කියනවා new vaccine causes long-term damage allegedly,DISINFO
post_19,user_84,facebook,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_20,user_81,news_portal,මට හිතෙන්නේ politicians ගැන rethink කරන්න ඕන,HATE
post_21,user_146,youtube,officials ලා හරිම smart නේද? 😏,HATE
post_22,user_165,news_portal,Breaking news: economic reform secretly controlled by foreign powers,DISINFO
post_23,user_64,youtube,officials ලා always complain කරනවා lol,HATE
post_24,user_103,youtube,මට coffee එකක් බොන්න හිතෙනවා,NORMAL
post_25,user_131,news_portal,ඔයා politicians වගේ behave කරනවා 😂,HATE
post_26,user_40,twitter,influencers culture එක totally outdated,HATE
post_27,user_99,news_portal,officials ලා always complain කරනවා lol,HATE
post_28,user_65,facebook,අද weather එක nice වගේ 😊,NORMAL
post_29,user_138,youtube,Meeting එක 5pm ට move කරමු,NORMAL
post_30,user_76,news_portal,officials ලා හරිම smart නේද? 😏,HATE
post_31,user_185,youtube,students ලා always complain කරනවා lol,HATE
post_32,user_28,youtube,Traffic එක අද ටිකක් heavy,NORMAL
post_33,user_51,twitter,Meeting එක 5pm ට move කරමු,NORMAL
post_34,user_139,facebook,media people ලා always complain කරනවා lol,HATE
post_35,user_5,facebook,Research කියනවා economic reform harmful කියලා but media hide කරනවා,DISINFO
post_36,user_15,twitter,politicians ලා always complain කරනවා lol,HATE
post_37,user_188,news_portal,ඔයා influencers වගේ behave කරනවා 😂,HATE
post_38,user_33,news_portal,students ලා always complain කරනවා lol,HATE
post_39,user_136,news_portal,Breaking news: fuel prices secretly controlled by foreign powers,DISINFO
