Comment ID,Video ID,Author,Likes,Original Comment,Cleaned Comment,Label,Hate,Disinfo,Normal,Hate Words,Processed At
UgzGG42JVJN-39uLqa94AaABAg,1,User_CA4B4A,0,තවම හිරේ නෑනේ,තවම හිරේ නෑනේ,NORMAL,0,0,1,,2026-03-08T05:46:08.674823
UgxAgLM-7wYAtY6v-Rx4AaABAg,1,User_B914DF,0,Pissu na malo,Pissu na malo,NORMAL,0,0,1,,2026-03-08T05:46:08.876835
UgyF-u1CSICnedI6Ir54AaABAg,1,User_46B3E5,1,"Mr Bimal  we are very proud of  President Anura.
Thats why No mole is empty brain.",Mr Bimal we are very proud of President Anura Thats why No mole is empty brain,NORMAL,0,0,1,,2026-03-08T05:46:09.307980
Ugz5g_39qSirGJo2tad4AaABAg,1,User_9D12B9,0,මුනම් බෙබ්ම  තමය් මොලේ මොලේ මෝරපු කෙනෙක් නම් ඔය් වගේ ගොං කතා කියය්ද,මුනම් බෙබ්ම තමය් මොලේ මොලේ මෝරපු කෙනෙක් නම් ඔය් වගේ ගොං කතා කියය්ද,HATE,1,0,0,"මොලේ, වගේ, ගොං",2026-03-08T05:46:17.294045
Ugw7DvfcrtXj4Tj9xKF4AaABAg,1,User_C7B961,0,Ai okage ammage sereppu geniyann,Ai okage ammage sereppu geniyann,NORMAL,0,0,1,,2026-03-08T05:46:17.621629
UgyLmlPXeoIoMvCVp6R4AaABAg,1,User_C7B961,0,Muta jathika listhuwak nathinam gedarata wela thappulann thama wennee,Muta jathika listhuwak nathinam gedarata wela thappulann thama wennee,HATE,1,0,0,,2026-03-08T05:46:19.000543
UgwLjUhLMCdmG5UcSjR4AaABAg,1,User_74F8D4,0,Mun kerapoththo wage let ekata dala minissu wathura gehuwe.hilakin ringala evith kerapiththo aye raganawa.mu denda paskuwa ahanne keriya thoge pappa redda ussapu unra keliya vitharai eda tho koheda hitiye.,Mun kerapoththo wage let ekata dala minissu wathura gehuwehilakin ringala evith kerapiththo aye raganawamu denda paskuwa ahanne keriya thoge pappa redda ussapu unra keliya vitharai eda tho koheda hitiye,NORMAL,0,0,1,,2026-03-08T05:46:19.731276
Ugwn2MnKYrsTjGxb7nJ4AaABAg,1,User_405DFA,0,පෙනුමෙන් උස මහතින් නෙමෙයි.,පෙනුමෙන් උස මහතින් නෙමෙයි,NORMAL,0,0,1,,2026-03-08T05:46:20.018244
UgyBfHxgET7GQWHH0H94AaABAg,1,User_8F3831,0,Amu gawayooo,Amu gawayooo,NORMAL,0,0,1,,2026-03-08T05:46:20.186248
Ugyjxd2okODUDaazOw54AaABAg,1,User_E8EF19,0,Oya namal booruwa lajjawata saha bayata kegahanne moo manthtiwarayek nemeine moo national list eken avith buranawa aney moo mona muhunak thiyagenada parliament avith kiyawanne moota kiyanna deyak nethuwa monawa hari ekak hoyagena avith kiyawanawa😅😅,Oya namal booruwa lajjawata saha bayata kegahanne moo manthtiwarayek nemeine moo national list eken avith buranawa aney moo mona muhunak thiyagenada parliament avith kiyawanne moota kiyanna deyak nethuwa monawa hari ekak hoyagena avith kiyawanawa,HATE,1,0,0,kiyawanawa,2026-03-08T05:46:20.970540
Ugy9Y7y2EzDW6XG7zoR4AaABAg,1,User_B15D33,0,Redda beragena duwapan ..namolayoooooooo,Redda beragena duwapan namolayoooooooo,NORMAL,0,0,1,,2026-03-08T05:46:21.097714
Ugz3EQYq_RFEV1hrQEl4AaABAg,1,User_7F5FD8,0,Kochchara unath namalge sataken ena paurushaya katawath neh 😂,Kochchara unath namalge sataken ena paurushaya katawath neh,NORMAL,0,0,1,,2026-03-08T05:46:21.257178
UgxFiSd7Ikw6HY1DCLt4AaABAg,1,User_088FA8,0,Mu bilai mima,Mu bilai mima,NORMAL,0,0,1,,2026-03-08T05:46:21.348639
Ugx21TYeC9jyMcv2BNF4AaABAg,1,User_6EA7EE,0,❤❤❤❤❤niyamai  jayaweva .❤❤❤,niyamai jayaweva,NORMAL,0,0,1,,2026-03-08T05:46:21.484861
Ugxp80i5Vpbc-HdzP6B4AaABAg,1,User_8A4C17,0,Tom pachya anra,Tom pachya anra,NORMAL,0,0,1,,2026-03-08T05:46:21.657566
UgxK8hHF4fGSdmZ6j5F4AaABAg,1,User_C3D65D,0,ETHDA NA-MOLE ? THOPILAAGE  PAWRSYA HONDAYI BALLANTA saha THOPILAATA JAK GAHANA ARA PADATHTHALA NAALIKAA 2 deke UNTA saha  ARA HAANSAARALAA WAGE KAHAKA DA UNTA.. U A E wala Sita.......,ETHDA NAMOLE THOPILAAGE PAWRSYA HONDAYI BALLANTA saha THOPILAATA JAK GAHANA ARA PADATHTHALA NAALIKAA 2 deke UNTA saha ARA HAANSAARALAA WAGE KAHAKA DA UNTA U A E wala Sita,HATE,1,0,0,,2026-03-08T05:46:22.491258
UgzVbiuYNrQSL8P2Tqp4AaABAg,1,User_AF5CF2,0,ආමි නෙවි පොලිසිය එයාලට ඕන විදියට වැඩ කරෙ උන්ට ඕන විදියට රට පාලනය කරෙ 😂😂😂,ආමි නෙවි පොලිසිය එයාලට ඕන විදියට වැඩ කරෙ උන්ට ඕන විදියට රට පාලනය කරෙ,NORMAL,0,0,1,,2026-03-08T05:46:22.911417
UgxvpBbQB-hMQMc81Sd4AaABAg,1,User_E289B9,0,මොකුත්ම නැති ඔවුන්ට අධ්‍යාපනයක් නෑ. ඔය හොරකම් කල සල්ලි ටිකක් හොයාගෙන ලොකු වාහනයක් ගන්නවා හොඳට කාල කාලා ඌරෙක්ව ගඟ ඇඟ හදාගන්නව බේස්ලට් එකක් දානවා සපද්දයක් හොඳ දාගෙන මූ යන මේක තමයි මුන්ගේ පෞරුෂය පඹයෝ වගේ. ඇතුළෙ මොකුත් නෑ. පුහු,මොකුත්ම නැති ඔවුන්ට අධ්යාපනයක් නෑ ඔය හොරකම් කල සල්ලි ටිකක් හොයාගෙන ලොකු වාහනයක් ගන්නවා හොඳට කාල කාලා ඌරෙක්ව ගඟ ඇඟ හදාගන්නව බේස්ලට් එකක් දානවා සපද්දයක් හොඳ දාගෙන මූ යන මේක තමයි මුන්ගේ පෞරුෂය පඹයෝ වගේ ඇතුළෙ මොකුත් නෑ පුහු,DISINFO,0,1,0,,2026-03-08T05:46:23.586879
UgzrQLFxDLHEGEfzUFx4AaABAg,1,User_06BED0,0,"හීරේ ඉන්න ඕන එකා,,, පාර්ලිමේන්තුවේ එතනයි වරද??????",හීරේ ඉන්න ඕන එකා පාර්ලිමේන්තුවේ එතනයි වරද,NORMAL,0,0,1,,2026-03-08T05:46:23.788644
Ugw3wQtZ4GFzafRIiIZ4AaABAg,1,User_06BED0,0,"මූටනම් පිස්සු,,,ෂික් ගහලා දාන්න,රෙජිමෙ පිලිවෙලටම,,,,,,නෑමලයට ට්‍රෑක්.",මූටනම් පිස්සුෂික් ගහලා දාන්නරෙජිමෙ පිලිවෙලටමනෑමලයට ට්රෑක්,NORMAL,0,0,1,,2026-03-08T05:46:24.002321
UgwOje5aU6oVTNAxQQ94AaABAg,1,User_8325D7,0,Hora takkadi abìmanaya ajjai,Hora takkadi abmanaya ajjai,NORMAL,0,0,1,,2026-03-08T05:46:24.228489
UgzejpeucOWE0HqIvRh4AaABAg,1,User_B4D981,0,Respect sir 🫡,Respect sir,NORMAL,0,0,1,,2026-03-08T05:46:24.336053
UgzC8QtUKJddzdWiJkJ4AaABAg,1,User_592894,0,ඡන්දෙ කාලේ  මෝල්කාන්ත කිව්ව පියයුරු පෙරහැර වත් තිබ්බනම් 😂,ඡන්දෙ කාලේ මෝල්කාන්ත කිව්ව පියයුරු පෙරහැර වත් තිබ්බනම්,NORMAL,0,0,1,,2026-03-08T05:46:24.604993
UgygTqLKAcTQ3tFDX154AaABAg,1,User_8E29AC,0,Ane sir mun okkoma amu horu.,Ane sir mun okkoma amu horu,NORMAL,0,0,1,,2026-03-08T05:46:24.829672
UgwYLuTrP9W1c70F9wd4AaABAg,1,User_8E29AC,0,Namaloya monawa karath oya faile,Namaloya monawa karath oya faile,NORMAL,0,0,1,,2026-03-08T05:46:24.975487
UgypVC3LJBmTVpCa8dR4AaABAg,1,User_8E29AC,0,Nanal mama galle Richmond tho dakuna ape okkoma garuthwayata keliya.thopila okkoma patta ..keriya,Nanal mama galle Richmond tho dakuna ape okkoma garuthwayata keliyathopila okkoma patta keriya,HATE,1,0,0,,2026-03-08T05:46:25.258687
UgxIAA2A33QBXnfTC3F4AaABAg,1,User_82D5C8,0,අපි හාල් කිලෝ 100 පුරවපු බාජනේ වටිනාකමට වඩා අගලේ අගලේ පොඩි පෙට්ටියක දාල තියෙන රත්තරං බඩුවේ වටිනාකම වැඩියි ඒ වගේ ජනාධිපති තුමාගෙ උස් මිටිකමෙන් වැඩක් නැහැ  එයාගෙ වටිනාකම වැඩියි,අපි හාල් කිලෝ 100 පුරවපු බාජනේ වටිනාකමට වඩා අගලේ අගලේ පොඩි පෙට්ටියක දාල තියෙන රත්තරං බඩුවේ වටිනාකම වැඩියි ඒ වගේ ජනාධිපති තුමාගෙ උස් මිටිකමෙන් වැඩක් නැහැ එයාගෙ වටිනාකම වැඩියි,DISINFO,0,1,0,,2026-03-08T05:46:25.578945
UgztAz64PZckv-X_Rbt4AaABAg,1,User_F0C123,0,අය්යෝ නෑ මොළේ ඉල්ලන් කනවා 😂😂😂,අය්යෝ නෑ මොළේ ඉල්ලන් කනවා,NORMAL,0,0,1,,2026-03-08T05:46:25.769910
UgxRAaUm0WN0atS-PDV4AaABAg,1,User_34D10C,0,Mama ammta kiyala baninnea Naha namal mama oyagaea tattata  godak adarae,Mama ammta kiyala baninnea Naha namal mama oyagaea tattata godak adarae,NORMAL,0,0,1,,2026-03-08T05:46:25.883822
UgxLuvFOaw5TL5gk1P94AaABAg,1,User_DE83D6,0,Opposition is no opinion,Opposition is no opinion,NORMAL,0,0,1,,2026-03-08T05:46:25.962638
UgzgzVUwQohSW84OZ5l4AaABAg,1,User_CCD6B9,0,මාලිමාවට ජයවෙනව  ඉරිසියාකාරයො කුහකයො   බලතන්හාවට මුසලකම බෙිරෙනව,මාලිමාවට ජයවෙනව ඉරිසියාකාරයො කුහකයො බලතන්හාවට මුසලකම බෙිරෙනව,NORMAL,0,0,1,,2026-03-08T05:46:26.085329
UgxYx1yWcn09Ox9dmxJ4AaABAg,1,User_CCD6B9,0,නොදකින්   අනුරකුමාරබජනාධිපතිතුමා ලග ඇටබෝල කොලුගැටයවගෙ ඉන්න මලය ලග  ජනාධිපති සුවරැපයක් අහලකවත් තියෙනවද අනුරකුමාර හිනාව පවාරටටම කිරි ඉත්රෙනවඇදවෙචිච අඹයවගෙ උං කියනකතා    අදාල නැහැ තඹුත්තේගම වියම දෙමාපියන්ට ජාතක වෙචිච එඩිතර රජෙක් රටෙි නායකය උනේ ඉරිසියාව මුනෙන් පේන කුහක මුනුවල මුඩුම ගතිත්යාගන අනුරකුමාරට අපහාසකරන    සිත්ආතල්දාන කපුටො,නොදකින් අනුරකුමාරබජනාධිපතිතුමා ලග ඇටබෝල කොලුගැටයවගෙ ඉන්න මලය ලග ජනාධිපති සුවරැපයක් අහලකවත් තියෙනවද අනුරකුමාර හිනාව පවාරටටම කිරි ඉත්රෙනවඇදවෙචිච අඹයවගෙ උං කියනකතා අදාල නැහැ තඹුත්තේගම වියම දෙමාපියන්ට ජාතක වෙචිච එඩිතර රජෙක් රටෙි නායකය උනේ ඉරිසියාව මුනෙන් පේන කුහක මුනුවල මුඩුම ගතිත්යාගන අනුරකුමාරට අපහාසකරන සිත්ආතල්දාන කපුටො,HATE,1,0,0,"නැහැ, කුහක",2026-03-08T05:46:26.644921
Ugz0kZcuG9tMsQ1jdhF4AaABAg,1,User_6DD225,0,Ane..gona.namal..pakaya,Anegonanamalpakaya,NORMAL,0,0,1,,2026-03-08T05:46:26.726940
UgzbjEGK7Js0eXnjr654AaABAg,1,User_8AFBBD,0,"Ado BIMAL PARAYA UMBA DANNA ENGLISH, BROKEN ENGLISH",Ado BIMAL PARAYA UMBA DANNA ENGLISH BROKEN ENGLISH,NORMAL,0,0,1,,2026-03-08T05:46:26.824565
Ugy2Gq9UEBnlqJVE90Z4AaABAg,1,User_8AFBBD,0,"Paka, paka, paka.j",Paka paka pakaj,NORMAL,0,0,1,,2026-03-08T05:46:26.893749
Ugytzz5J0uqgc1pLX6B4AaABAg,1,User_04FE49,0,Respect  bimal sir❤❤❤❤❤❤❤❤❤❤❤,Respect bimal sir,NORMAL,0,0,1,,2026-03-08T05:46:26.987725
UgwKaolv0DFM9nc8icN4AaABAg,1,User_6A3C4E,0,Jathika laisthuwen ganna Beri karanna oni,Jathika laisthuwen ganna Beri karanna oni,HATE,1,0,0,karanna,2026-03-08T05:46:27.303290
UgzFYIIWShAEGAnl3It4AaABAg,1,User_1639EC,0,Uba namalayo awe jathika listhuwen uba dan janadi pathida dan,Uba namalayo awe jathika listhuwen uba dan janadi pathida dan,HATE,1,0,0,,2026-03-08T05:46:27.507358
Ugwhfa5-oUeXQ6QpZ2x4AaABAg,1,User_F90E86,1,Naamal hithan inney eyaa lassanaai kiyalada ? 😂,Naamal hithan inney eyaa lassanaai kiyalada,NORMAL,0,0,1,,2026-03-08T05:46:27.610396
UgwSJ5894uBcnEX7dkF4AaABAg,1,User_B1D056,0,Kalakanni..phara vaciga. Balla..aweajathaka. vaciga. Balla. Uba. Ammata. Hikuwa..urakda. namal..jampara..lagai,Kalakanniphara vaciga Ballaaweajathaka vaciga Balla Uba Ammata Hikuwaurakda namaljamparalagai,HATE,1,0,0,Balla,2026-03-08T05:46:28.003124
Ugw5tLnDJjnldnEfWRx4AaABAg,1,User_5F2219,0,"නාමල් කියන බූරුවා දන්න පෞර්ෂය. පෞර්ෂය,අභිමානය තියෙනවා කියලා හිතන් ඉන්න හැතිකරේ රටට කෙලපු හැටි මතකයි නේ. Ki😂දේවල් නැතුවට.",නාමල් කියන බූරුවා දන්න පෞර්ෂය පෞර්ෂයඅභිමානය තියෙනවා කියලා හිතන් ඉන්න හැතිකරේ රටට කෙලපු හැටි මතකයි නේ Kiදේවල් නැතුවට,HATE,1,0,0,,2026-03-08T05:46:28.722272
UgwSFrwc6Losc2_Egsx4AaABAg,1,User_10A369,0,Ane namal kawa neda?,Ane namal kawa neda,NORMAL,0,0,1,,2026-03-08T05:46:29.009566
Ugz0gimmfIXdPxnKTMJ4AaABAg,1,User_DAC43F,0,Gon namal rajapaksha 🐂🐃🐄😂😂😂,Gon namal rajapaksha,NORMAL,0,0,1,,2026-03-08T05:46:29.327660
Ugw8y14cvHdDldyJmkl4AaABAg,1,User_ECF301,0,Ape anura janadipathi thuma kochchara hoda manussakam thiyena kenekda ..onama kenekta eya lagata gihin katha karanna puluwan..api kochara asaida jadipathi kenek lagata gihin face face katha karanna..issara hitapu janadipath kenek lagata samanya manussayekta lagatawsth yanna puluwan da? Mata mathakai ape gamata mahinda rajapaksha apu welawe a palathema parawal wahala hamudawen policiyen dala kada wahala eka manussayekutwsth paraka warh yanna ne apita durin undagenawsth balanna dunne ne..ehema kalayak thibba podi mudal nasthiyakda kale..dan ehemada loku podi ona kenekta ape anura jadipathi thuma lagata yanna puluwan..respect oue AkD ♥,Ape anura janadipathi thuma kochchara hoda manussakam thiyena kenekda onama kenekta eya lagata gihin katha karanna puluwanapi kochara asaida jadipathi kenek lagata gihin face face katha karannaissara hitapu janadipath kenek lagata samanya manussayekta lagatawsth yanna puluwan da Mata mathakai ape gamata mahinda rajapaksha apu welawe a palathema parawal wahala hamudawen policiyen dala kada wahala eka manussayekutwsth paraka warh yanna ne apita durin undagenawsth balanna dunne neehema kalayak thibba podi mudal nasthiyakda kaledan ehemada loku podi ona kenekta ape anura jadipathi thuma lagata yanna puluwanrespect oue AkD,HATE,1,0,0,karanna,2026-03-08T05:46:31.377230
UgzEA76N44q7lZ0vdBp4AaABAg,1,User_ECF301,0,Ane deiyane me anduwa hodai .adu padu thiyenawa thamai habai horakama dushanaya mudal nasthiya adu karala tiken tika rata hoda athata yana ekama loku deyak..pahu giya andu nisa api polim wala kochara duk vindada paya ganan cureent nathuwa gas nathuwa mona dukak da a kale api vinde..dan aduma tharame nidahase eka jeewath wenna puluwan,Ane deiyane me anduwa hodai adu padu thiyenawa thamai habai horakama dushanaya mudal nasthiya adu karala tiken tika rata hoda athata yana ekama loku deyakpahu giya andu nisa api polim wala kochara duk vindada paya ganan cureent nathuwa gas nathuwa mona dukak da a kale api vindedan aduma tharame nidahase eka jeewath wenna puluwan,HATE,1,0,0,,2026-03-08T05:46:32.387900
Ugz6luHsn4XiviHGhEx4AaABAg,1,User_1A9DD5,0,næ mole😂😂😂punnakku,n molepunnakku,NORMAL,0,0,1,,2026-03-08T05:46:32.645295
Ugx5NxEmrcRkL773iIF4AaABAg,1,User_250483,0,😂😂සාටකෙන්ම බෙල්ලෙ වැලදාගන්න හිතුන නේද නෑමොලේට. ඇපත් නැතුව ඇවිත් බයිල කියනව. ඇග විතරයි මොලේ නෑ. පුම්බගෙන පවුර්ශය බලෙන් පෙන්නුවට බොරු ශෝ නෑ මාලිමාවෙ.,සාටකෙන්ම බෙල්ලෙ වැලදාගන්න හිතුන නේද නෑමොලේට ඇපත් නැතුව ඇවිත් බයිල කියනව ඇග විතරයි මොලේ නෑ පුම්බගෙන පවුර්ශය බලෙන් පෙන්නුවට බොරු ශෝ නෑ මාලිමාවෙ,HATE,1,0,0,"බෙල්ලෙ, නැතුව, මොලේ, නෑ, බොරු",2026-03-08T05:46:33.525028
UgwJGHwLgwxL07cMtht4AaABAg,1,User_B7D202,0,Namalaya ubatanam maka puduma anduvaktama paharayoooo,Namalaya ubatanam maka puduma anduvaktama paharayoooo,NORMAL,0,0,1,,2026-03-08T05:46:34.944752
Ugw5zwtC57yHXYs196B4AaABAg,1,User_FD617F,0,Apita. naluvak. ona. na. Anura. janade pathi. dumata. ❤❤❤❤❤❤,Apita naluvak ona na Anura janade pathi dumata,NORMAL,0,0,1,,2026-03-08T05:46:35.093135
UgwyCF232LuTXiX7JkJ4AaABAg,1,User_69BFF7,0,"Paule karapu tikka made thama kefirgahane  ara rathupata  reda anithpathata thagandewey, apithamay hodatam horakam karey",Paule karapu tikka made thama kefirgahane ara rathupata reda anithpathata thagandewey apithamay hodatam horakam karey,NORMAL,0,0,1,,2026-03-08T05:46:35.537281
UgzJsLbnJXqM7Yzxe5d4AaABAg,1,User_630412,0,Namal kata wahagena wadi weyan...balla,Namal kata wahagena wadi weyanballa,NORMAL,0,0,1,,2026-03-08T05:46:35.880340
Ugy8IQMDuOga1LDWkgx4AaABAg,1,User_3F5784,0,කෙහෙල් බද්දර පත්මෙගෙ යාලුවා නෙද සාටකෙ දාන් ඉන්නෙ,කෙහෙල් බද්දර පත්මෙගෙ යාලුවා නෙද සාටකෙ දාන් ඉන්නෙ,HATE,1,0,0,,2026-03-08T05:46:36.578502
UgyxOgnN1OuXhx9zZYF4AaABAg,1,User_ABA93E,0,Namoligi.  Bandana illanna dari  we wenna those  karanna  janapathi  tumani,Namoligi Bandana illanna dari we wenna those karanna janapathi tumani,NORMAL,0,0,1,,2026-03-08T05:46:36.978354
UgwFElMNvxjfVPSn_q54AaABAg,1,User_8433E6,0,Thanks Bimal very good advice,Thanks Bimal very good advice,NORMAL,0,0,1,,2026-03-08T05:46:37.304717
Ugy275Gyz1ofWdal_Qh4AaABAg,1,User_1F5726,0,Etin  api anrasahodarayata  satakayak paladanna kiyamu,Etin api anrasahodarayata satakayak paladanna kiyamu,NORMAL,0,0,1,,2026-03-08T05:46:37.462681
UgywVGTHshVczrgbmJV4AaABAg,1,User_EF6FD5,0,පෞර්ෂයරාජ්ප්ක්ඪලගෙව එහෙන්ං! ප්ට්ට ගොඩයොනෙව්‍රාජ්ප්ක්ඪලගෙ ?! මිනිමරුවො හොරතක්ක්ඩි රැළ! ඊර්ෂියාව!,පෞර්ෂයරාජ්ප්ක්ඪලගෙව එහෙන්ං ප්ට්ට ගොඩයොනෙව්රාජ්ප්ක්ඪලගෙ මිනිමරුවො හොරතක්ක්ඩි රැළ ඊර්ෂියාව,NORMAL,0,0,1,,2026-03-08T05:46:37.890381
UgwNM092W5RlgeLFnjB4AaABAg,1,User_052D17,0,"Mr.Wimal
Great speech! These politicians 
Those who've distorted this beautiful country must be out of politics and not on any so-called list
Etc. Why don't you inform the FBI or Scotland yard to investigate 
Them. Good luck.",MrWimal Great speech These politicians Those whove distorted this beautiful country must be out of politics and not on any socalled list Etc Why dont you inform the FBI or Scotland yard to investigate Them Good luck,NORMAL,0,0,1,,2026-03-08T05:46:40.390513
Ugy17GXsPZk7TyYtfBV4AaABAg,1,User_274E13,0,"Pin,list,member
Sataka manchuria,gobbaya,",Pinlistmember Sataka manchuriagobbaya,NORMAL,0,0,1,,2026-03-08T05:46:41.179838
Ugz5QKO5_xe8ArOrNGF4AaABAg,1,User_270B2F,0,මාර්තු 8 උබල කොහොමද නිතිය කරන්නෙ අදිකරන නිතිය කලින් පැලැනින් වගෙයි,මාර්තු 8 උබල කොහොමද නිතිය කරන්නෙ අදිකරන නිතිය කලින් පැලැනින් වගෙයි,NORMAL,0,0,1,,2026-03-08T05:46:41.992590
Ugw7bXe_IWQoR_sCbgB4AaABAg,1,User_4F3405,0,Dan mokada kiyannea namal ahagatha athida,Dan mokada kiyannea namal ahagatha athida,NORMAL,0,0,1,,2026-03-08T05:46:42.356894
Ugyucexldgd9SJE2bPZ4AaABAg,1,User_0095B9,0,නෑමොලයාට තෙරුම් ගන්න බෑ....,නෑමොලයාට තෙරුම් ගන්න බෑ,NORMAL,0,0,1,,2026-03-08T05:46:42.761191
UgxXqmSDyDf5mVfeGnh4AaABAg,1,User_7A2046,0,නොදකින් ගූ මොලේ 🤮🤮,නොදකින් ගූ මොලේ,HATE,1,0,0,"ගූ, මොලේ",2026-03-08T05:46:43.605314
UgwgYU2PtWSr8gmDnVd4AaABAg,1,User_D37971,0,මෝඩ තර්ක වලට හොදම පැහැදිලි කිරීමක්.,මෝඩ තර්ක වලට හොදම පැහැදිලි කිරීමක්,NORMAL,0,0,1,,2026-03-08T05:46:44.578161
UgyASRBsx4farOfW_hZ4AaABAg,1,User_8D4514,0,නොදකිං ගොං මෑ මලයා,නොදකිං ගොං මෑ මලයා,HATE,1,0,0,ගොං,2026-03-08T05:46:45.049223
UgzSpf5YytH0DlBWCXR4AaABAg,1,User_D326A9,0,"ඔබතුමා කියපු සේරම ඇත්තම ඇත්ත.. 

බල්ලො අඩු බිරුවට ගණන් ගන්න එපා...",ඔබතුමා කියපු සේරම ඇත්තම ඇත්ත බල්ලො අඩු බිරුවට ගණන් ගන්න එපා,HATE,1,0,0,බල්ලො,2026-03-08T05:46:46.389369
UgxYPzNm-KzS9KBl-194AaABAg,1,User_30116E,0,නියමයි මැතිතුමනි🎉🎉🎉🎉🎉🎉🎉🎉,නියමයි මැතිතුමනි,NORMAL,0,0,1,,2026-03-08T05:46:47.086585
Ugz-hFMcz4MY4Gbco_x4AaABAg,1,User_1FF3C9,0,මෙිික එහෙම කිවෙිි තනිගොනෙක්නිසයි හොරනිතිඥයෙක්නෙ.දන්නෙනැහ ❤❤,මෙිික එහෙම කිවෙිි තනිගොනෙක්නිසයි හොරනිතිඥයෙක්නෙදන්නෙනැහ,NORMAL,0,0,1,,2026-03-08T05:46:47.922300
UgxVnlAOnbrSx1pzNNJ4AaABAg,1,User_7379A6,0,මහත්මා ගාන්ධි ගෙ ඇඳුම නෑ මොලය දැකල තියෙනව ද දන්නේ නෑ...,මහත්මා ගාන්ධි ගෙ ඇඳුම නෑ මොලය දැකල තියෙනව ද දන්නේ නෑ,NORMAL,0,0,1,,2026-03-08T05:46:49.222622
Ugwqsg-b-iN7S4XP7uZ4AaABAg,1,User_15FFD1,0,"මාන්නය්‍ය.පිරිල.හිටපු.රජයනමි.මහාජනතාවගෙ.
මුදල්කාපු.හැතිකරේ
තවත්.රතුසාඨකේ
එල්ලමි.කට.මැද.දොඩවනව
ලැජ්ජනැ.ලරජ්ඩානැ.චි.චි.චි",මාන්නය්යපිරිලහිටපුරජයනමිමහාජනතාවගෙ මුදල්කාපුහැතිකරේ තවත්රතුසාඨකේ එල්ලමිකටමැදදොඩවනව ලැජ්ජනැලරජ්ඩානැචිචිචි,NORMAL,0,0,1,,2026-03-08T05:46:50.088632
Ugxat4tZ4rWEcspyfsJ4AaABAg,1,User_088DE4,0,Muwa parlimenthuwata  awe  kohomda😊,Muwa parlimenthuwata awe kohomda,NORMAL,0,0,1,,2026-03-08T05:46:50.917928
UgyD8pqrDk-Ahi0D1N54AaABAg,1,User_088DE4,0,N8dahsa 8warai thmath kathwa wadk keaplla rata knna knne nathuww,N8dahsa 8warai thmath kathwa wadk keaplla rata knna knne nathuww,HATE,1,0,0,,2026-03-08T05:46:52.523444
UgxsX8meJJgWD37YXRt4AaABAg,1,User_4789E8,0,නාමලය ජනාධිපති වෙන්නෙ කියල හිතාගන ඉන්නෙ ඊලගපාර එ්කයි පාර්ලිමේන්තුවෙ කෑගහන්නෙ උන්ට හුරේ දාන්ඩත් ඉන්නවනෙ තාම ගවයො🐃🐃🐃,නාමලය ජනාධිපති වෙන්නෙ කියල හිතාගන ඉන්නෙ ඊලගපාර එ්කයි පාර්ලිමේන්තුවෙ කෑගහන්නෙ උන්ට හුරේ දාන්ඩත් ඉන්නවනෙ තාම ගවයො,NORMAL,0,0,1,,2026-03-08T05:46:54.894143
UgzMD5PYO4b1CRUJa3R4AaABAg,1,User_4789E8,0,අනික නාමලයට ඉන්දියාවෙ ගිහින් දුන්න පබ්ලිසිටිය නිසා මු යන්නෙ ටිකක් උඩින් දැන් පොර වෙලා,අනික නාමලයට ඉන්දියාවෙ ගිහින් දුන්න පබ්ලිසිටිය නිසා මු යන්නෙ ටිකක් උඩින් දැන් පොර වෙලා,NORMAL,0,0,1,,2026-03-08T05:46:55.967586
Ugx-aPS2zJMmfUR03jt4AaABAg,1,User_4789E8,0,මේ වගේ ගොබ්බයො පාර්ලිමේන්තුවට එන ලිස්ට් එක නැතිකරන්න,මේ වගේ ගොබ්බයො පාර්ලිමේන්තුවට එන ලිස්ට් එක නැතිකරන්න,HATE,1,0,0,වගේ,2026-03-08T05:46:57.704519
