id,text,label
1,📌 ඒ කෙනාට නම් හරිම අහංකාර ගතියක් තියෙන්නේ…,HATE
2,😅 රහසිගත report එකකට අනුව ලෙමන් ජූස් එකෙන් ආරක්ෂාව 100% වෙලා තියෙනවා කියලා කියනවා,DISINFO
3,ඔයාගේ කතාව අහලා ඉන්න බැහැ—අඩුම තරමින් උත්සාහ කරන්න!! 📰,HATE
4,අද මම බස් ස්ටෑන්ඩ් එකට ගිහින් කෝපි එකක් අරගෙන ආවා 🫠,NORMAL
5,ඔයාගේ කතාව අහලා ඉන්න බැහැ—හිතාගෙන ඉන්න එපා!! 😶,HATE
6,අද මම පුස්තකාලයට ගිහින් පොත් දෙකක් අරගෙන ආවා 📰,NORMAL
7,මේක විශ්වාස කරන්න: mobile tower එකෙන් රෝගය එන්න හේතුව වෙනවාලු (source: anonymous). ⚠️,DISINFO
8,✅ අද මම වැඩට ගිහින් කෝපි එකක් අරගෙන ආවා?!,NORMAL
9,දැන් ඉවරයි—ඔයාට ලජ්ජා නැද්ද? සිරාවටම අහන්න එපා. ✅,HATE
10,අදම share කරන්න: මේ තේ එකෙන් පරික්ෂණයකින් 99%ක් හොඳ වෙනවා කියලා කියලා 'proof' එක්ක post එකක් ගියා! 🫠,DISINFO
11,ඔයා හරිම අහංකාර එකක්… 😶,HATE
12,ඔයා හරිම අහංකාර එකක්… 🙄 bro,HATE
13,ඒ කෙනාට නම් හරිම අහංකාර ගතියක් තියෙන්නේ! 😅,HATE
14,ඔයා හරිම අඬාල එකක්!! 😐,HATE
15,COVID ගැන අලුත්ම 'leak' එක: මේ තේ එකෙන් පරික්ෂණයකින් 99%ක් හොඳ වෙනවා කියලා?! 🙄,DISINFO
16,අපි හෙට මිතුරන් හමුවෙන්න යන්න හිතාගෙන ඉන්නවා?! 🙄,NORMAL
17,ඔයාගේ කතාව අහලා ඉන්න බැහැ—හිතාගෙන ඉන්න එපා,HATE
18,අපිට දැනගන්න ලැබුණේ පස්සේ දවස් 3න්ම ලොකු lockdown එකක් එනවාලු කියලා. නිකංම හිතන්න එපා!! 📰,DISINFO
19,"අනේ මචං, ඔයා අහංකාර නෙවෙයිද… 🤔",HATE
20,📌 ඒ කෙනාට නම් හරිම අනුකම්පාත්මක ගතියක් තියෙන්නේ,HATE
21,⚠️ අපි හෙට බයික් එකෙන් වටේ යන්න යන්න හිතාගෙන ඉන්නවා?!,NORMAL
22,ඔයාගේ කතාව අහලා ඉන්න බැහැ—හිතාගෙන ඉන්න එපා… 🤔,HATE
23,ඔය post එක share කරන්න කලින් source එක බලන්න ඕනේ කියලා මම හිතනවා ✅,NORMAL
24,අද මම බස් ස්ටෑන්ඩ් එකට ගිහින් දවල් කෑම අරගෙන ආවා. 😐,NORMAL
25,🫠 ඔයා හරිම අකුරු නැති එකක්,HATE
26,"😅 කෙනෙක් රහසිගත report එකක් තියෙනවා කියලා කියනවා, මට ඒක තහවුරු කරගන්න බැහැ.",NORMAL
27,ඔයා හරිම අකුරු නැති එකක්,HATE
28,"✅ අනේ මචං, ඔයා බූරුවා නෙවෙයිද?!",HATE
29,මාධ්‍ය මේක හංගනවාලු: COVID එක 2 දවස්කින් පමණක් ඉවර කරන රහස් ක්‍රමයක් තියෙනවා. 🫠,DISINFO
30,මේක විශ්වාස කරන්න: මේ තේ එකෙන් පරික්ෂණයකින් 99%ක් හොඳ වෙනවා කියලා (source: anonymous)! 📰,DISINFO
31,😅 අද මම පුස්තකාලයට ගිහින් පාන් එකක් අරගෙන ආවා…,NORMAL
32,රහසිගත report එකකට අනුව ගුණාත්මක සුවඳ තෙල් වලින් COVID cure වෙලා තියෙනවා කියලා කියනවා! ⚠️,DISINFO
33,අද මම ඔෆිස් එකට ගිහින් පාන් එකක් අරගෙන ආවා!! 📌,NORMAL
34,මම AI ගැන ලිපියක් කියවලා සාරාංශයක් ලියලා තියාගත්තා. 🙂,NORMAL
35,🙄 පස්සේ ටිකක් ගෙදර වැඩ කළා.,NORMAL
36,මේක විශ්වාස කරන්න: අලුත් vaccine එකෙන් මතකය මැකෙනවා කියලා report එකක් තියෙනවා (source: anonymous)! 😐,DISINFO
37,ඔය post එක share කරන්න කලින් source එක බලන්න ඕනේ කියලා මම හිතනවා. ⚠️,NORMAL
38,අද මම පුස්තකාලයට ගිහින් බිස්කට් අරගෙන ආවා!! 📌,NORMAL
39,"🙄 මගේ යාලුවා කියනවා අලුත් update එක ආවා කියලා, ඒක අසාධාරණ නැහැ වගේ?!",NORMAL
40,ඔයාගේ වැඩේ හරිම අලසයි; අඩුම තරමින් උත්සාහ කරන්න!! ⚠️,HATE
41,"😅 අනේ මචං, ඔයා අලස නෙවෙයිද?!",HATE
42,වෛද්‍යවරු කිව්වේ නිදාගන්න වෙලාව සකස් කරන්න කියලා. ඒක සාමාන්‍ය උපදෙස් වගේ 🤔,NORMAL
43,😶 මම සමාජ මාධ්‍ය ගැන ලිපියක් කියවලා සාරාංශයක් ලියලා තියාගත්තා?!,NORMAL
44,"කෙනෙක් රහසිගත report එකක් තියෙනවා කියලා කියනවා, මට ඒක තහවුරු කරගන්න බැහැ! 😶",NORMAL
45,ඔයා හරිම අඬාල එකක්?! 📌,HATE
46,🫠 රහසිගත report එකකට අනුව ගුණාත්මක සුවඳ තෙල් වලින් COVID cure වෙලා තියෙනවා කියලා කියනවා!,DISINFO
47,මාධ්‍ය මේක හංගනවාලු: COVID එක 2 දවස්කින් පමණක් ඉවර කරන රහස් ක්‍රමයක් තියෙනවා?!,DISINFO
48,මට හිතෙන්නේ මේ news එක බලලා ඉවර වෙලා fact-check කරන්න හොඳයි!! 😶 news,NORMAL
49,"කෙනෙක් සත්‍ය වෙන්න පුළුවන් කියලා කියනවා, මට ඒක තහවුරු කරගන්න බැහැ. ⚠️",NORMAL
50,🤔 ඒ කෙනාට නම් හරිම අකුරු නැති ගතියක් තියෙන්නේ…,HATE
51,ඔයා වගේ කෙනෙක් එක්ක වැඩ කරන්නේ දුෂ්කරයි… 📰 source,HATE
52,📌 අද කාලගුණය ටිකක් වෙනස්; වැස්සට ලඟයි වගේ!! bro,NORMAL
