Original Comment,Cleaned Comment,Label,Hate,Disinfo,Normal,Hate Words
Gandassara pagayo anna thopi hurathal korana uda weerayek ahuwela. Sanga pathale aran gihin wata karapita cid eka. Kalakanni pahara balu siuru radawanaya,Gandassara pagayo anna thopi hurathal korana uda weerayek ahuwela Sanga pathale aran gihin wata karapita cid eka Kalakanni pahara balu siuru radawanaya,HATE,1,0,0,"Kalakanni, pahara, balu"
Aka thami hamuduruwane. Mun wena gemàk gahanna hadanne.ara rajapaksala allanna.munta hena gahanawa.,Aka thami hamuduruwane Mun wena gemk gahanna hadanneara rajapaksala allannamunta hena gahanawa,HATE,1,0,0,
පාස්කු ප්‍රහාරය ගැන නීතිය බලා ගනීවි ඔබවහන්සේ තමන්ගෙ වැඩක් කරගන්න ඇණයක් වෙන්නැතුව,පාස්කු ප්රහාරය ගැන නීතිය බලා ගනීවි ඔබවහන්සේ තමන්ගෙ වැඩක් කරගන්න ඇණයක් වෙන්නැතුව,NORMAL,0,0,1,
Onnayaya ganasara catawahapan ganuhora😭😭😭😭😭😭😭😭😭😭😭😭😭😜😜😜😜😜😜,Onnayaya ganasara catawahapan ganuhora,NORMAL,0,0,1,
Nanasara ayeth patangaththada paduwe idahan ubalage baela ahanna mea ratea kauruthnea ban budda cheware galawala chande ellahan gihin,Nanasara ayeth patangaththada paduwe idahan ubalage baela ahanna mea ratea kauruthnea ban budda cheware galawala chande ellahan gihin,HATE,1,0,0,
Sihalayanata thawa aurudu 10 raganda wenne. mehema giyoth hode😮,Sihalayanata thawa aurudu 10 raganda wenne mehema giyoth hode,HATE,1,0,0,
Ana pal..an yanna boru kiyannatiwa,Ana palan yanna boru kiyannatiwa,NORMAL,0,0,1,
Pansalakata wela idapanko ammapaaaaa epawenawa mun... Issarawage banak kiyan idapan... Ubalata oni rajapakshala gennamaiii,Pansalakata wela idapanko ammapaaaaa epawenawa mun Issarawage banak kiyan idapan Ubalata oni rajapakshala gennamaiii,HATE,1,0,0,oni
Oya karanne billo mawana eka . Oyalata balaya thibunu kale mewa nathara karanna thibunane.,Oya karanne billo mawana eka Oyalata balaya thibunu kale mewa nathara karanna thibunane,HATE,1,0,0,karanna
Thoge ammata,Thoge ammata,NORMAL,0,0,1,
ane pala gon pakaya yana,ane pala gon pakaya yana,HATE,1,0,0,"yana, gon, pakaya"
රාජපක්ෂ නිකායේ පරයෝ,රාජපක්ෂ නිකායේ පරයෝ,NORMAL,0,0,1,
Ai ithin me hamuduruwo nadu danne naththe mechchara thorathuru dannawanam.madya sandarsana thiyagena inne,Ai ithin me hamuduruwo nadu danne naththe mechchara thorathuru dannawanammadya sandarsana thiyagena inne,HATE,1,0,0,
මේ රට ට ඉන්න විශාල පිළිලයක් මේ.,මේ රට ට ඉන්න විශාල පිළිලයක් මේ,NORMAL,0,0,1,
කියන දේවල් සේරම ඇත්ත කියලා මම හිතනවා .නමුත් මේ හාමුදුරුවන් විනයානුකූලව කාටත් අහන්න කැමති විදියට කතා කරනවා නම් හොදයි නේද .රස්තියාදුකාරයෙක් වගේ අරූ මූ කියමින් අප්‍රසන්න හැසිරීම් නිසා සමාජයෙන් පිළිකුල් වෙනවා තමන් විහින්ම.හාමුදුරුවෝ හොදින් ම දන්නවා නෙවැ උඩ බලාගෙන කෙළ ගහගත්තම වැටෙන්නේ තමුන්ගේ මූණට බව.,කියන දේවල් සේරම ඇත්ත කියලා මම හිතනවා නමුත් මේ හාමුදුරුවන් විනයානුකූලව කාටත් අහන්න කැමති විදියට කතා කරනවා නම් හොදයි නේද රස්තියාදුකාරයෙක් වගේ අරූ මූ කියමින් අප්රසන්න හැසිරීම් නිසා සමාජයෙන් පිළිකුල් වෙනවා තමන් විහින්මහාමුදුරුවෝ හොදින් ම දන්නවා නෙවැ උඩ බලාගෙන කෙළ ගහගත්තම වැටෙන්නේ තමුන්ගේ මූණට බව,NORMAL,0,0,1,
හාමුදුරුවනේ  ඔය ඡායාරූප  වල ඉන්න සියලුම  දෙනා මේ රජයයට  සමග ජාතිවාදය  තුරන් කිරීමට  එක්වූ මුස්ලිම්  සහෝදරයන්,හාමුදුරුවනේ ඔය ඡායාරූප වල ඉන්න සියලුම දෙනා මේ රජයයට සමග ජාතිවාදය තුරන් කිරීමට එක්වූ මුස්ලිම් සහෝදරයන්,NORMAL,0,0,1,
මෙන්න මේ කවල්වල ඇතුළට දැම්ම නම් හරි බොරු කියව කියව වටේ යන්න දෙන්් නැතුව පිස්සු හැදිච්ච බල්ලෙක් වගේ,මෙන්න මේ කවල්වල ඇතුළට දැම්ම නම් හරි බොරු කියව කියව වටේ යන්න දෙන්් නැතුව පිස්සු හැදිච්ච බල්ලෙක් වගේ,HATE,1,0,0,"බොරු, නැතුව, වගේ"
Hamuduruwane koheda mechcharakal wadala hitiye.. Apu kalekin.. Mage budu hamuduruwonge sasane winasa karanna epa .. Hethu pala dahama budu hamuduruwo lassanata Deshana  karala thiyenawa. E Deshana hodata niskankawa shrawanayaya karanna..,Hamuduruwane koheda mechcharakal wadala hitiye Apu kalekin Mage budu hamuduruwonge sasane winasa karanna epa Hethu pala dahama budu hamuduruwo lassanata Deshana karala thiyenawa E Deshana hodata niskankawa shrawanayaya karanna,HATE,1,0,0,karanna
Ane ban tho gena danne game apine. Umba hondata badu gahanawa. Genei daruwo thiyagena. Siura galawapan issella,Ane ban tho gena danne game apine Umba hondata badu gahanawa Genei daruwo thiyagena Siura galawapan issella,HATE,1,0,0,badu
මුන්ට ආගම්වාදය ජාතිවාදය නැතිව ජීවත්වෙන්න බෑ.  බුදුහාමුදුරුවෝ මේ වැඩ කලාද  මුන් බුදුරජානන්වහන්සේට අපහාස කරනවා,මුන්ට ආගම්වාදය ජාතිවාදය නැතිව ජීවත්වෙන්න බෑ බුදුහාමුදුරුවෝ මේ වැඩ කලාද මුන් බුදුරජානන්වහන්සේට අපහාස කරනවා,NORMAL,0,0,1,
"මහින්දලා,ගොටාබය ලා,බලයට එන්න පාස්කු ප්‍රහාරය කරා කියලානම් කියන්නේ  නැහැ ???
 මෙයත් එයාලාගේම ගොඩේ එක්කෙනෙක් ??
මෙයාට පන්ඩ් ( මුදල් දෙන්නේ )කරන්නේ ඔවුන්ය. ????🐕🐕🐕🐕🐕🙈🙉🙊🐒????",මහින්දලාගොටාබය ලාබලයට එන්න පාස්කු ප්රහාරය කරා කියලානම් කියන්නේ නැහැ මෙයත් එයාලාගේම ගොඩේ එක්කෙනෙක් මෙයාට පන්ඩ් මුදල් දෙන්නේ කරන්නේ ඔවුන්ය,NORMAL,0,0,1,
හමුදුරුවොනෙ ඔඹ තුමා කාදිනල් තුමාව දැනුවත් කරන්න එතුමාලත්  මේ ආන්ඩු බලයට පත් කරන්න උදව් කරපු අය,හමුදුරුවොනෙ ඔඹ තුමා කාදිනල් තුමාව දැනුවත් කරන්න එතුමාලත් මේ ආන්ඩු බලයට පත් කරන්න උදව් කරපු අය,NORMAL,0,0,1,
ගොටා කරනාම් හරිනෙ උබ දගලන්නෙ,ගොටා කරනාම් හරිනෙ උබ දගලන්නෙ,HATE,1,0,0,
