id,text,label
1,උදේට news බලලා පස්සේ පාඩම් කළා. 😐 fact-check,NORMAL
2,රහසිගත report එකකට අනුව මිරිස් කෑමෙන් COVID cure වෙලා තියෙනවා. ඔයාලත් අහලා නැද්ද! ✅,DISINFO
3,"මම දැක්කා mobile tower එකෙන් රෝගය එනවා කියලා, ඒක තහවුරු නැහැ—fact-check කරන්න ඕනේ 📌",NORMAL
4,ඔයා හරිම අකුරු නැති එකක් 😐,HATE
5,ඔයාගේ කතාව අහලා ඉන්න බැහැ—හිතාගෙන ඉන්න එපා 🙄,HATE
6,ඔයා අඬාල නෙවෙයිද? මොකද්ද මේ බොරු proof කතා?! 📌,HATE
7,ඔයා අලස නෙවෙයිද? මොකද්ද මේ බොරු report කතා?! news,HATE
8,ලෙමන් ජූස් එකෙන් වයිරස් නාස්ති වෙනවා කියලා media හංගනවාලු. ඇත්ත දැනගන්න ඕනේ!,DISINFO
9,ඒක 100% sure: ලෙමන් ජූස් එකෙන් වයිරස් නාස්ති වෙනවා?! fact-check,DISINFO
10,අලුත් vaccine එකෙන් මතකය මැකෙනවා කියලා media හංගනවාලු. ඇත්ත දැනගන්න ඕනේ?! ⚠️,DISINFO
11,ඔයා අඬාල නෙවෙයිද? මොකද්ද මේ බොරු cure කතා ⚠️,HATE
12,ඒක 100% sure: අලුත් vaccine එකෙන් මතකය මැකෙනවා! 😐 fact-check,DISINFO
13,ඔයා අකුරු නැති නෙවෙයිද? මොකද්ද මේ බොරු report කතා… 🤔,HATE
14,අද මම ඔෆිස් එකට ගිහින් කෝපි එකක් අරගෙන ආවා 🫠,NORMAL
15,"මේක රහසිගත report එකක් නෙවෙයි, සාමාන්‍ය news එකක් වගේ 🫠 fact-check",NORMAL
16,අද මම ගෙදරට ගිහින් පාන් එකක් අරගෙන ආවා… 🫠,NORMAL
17,ඔයාගේ කතාව අහලා ඉන්න බැහැ—සිරාවටම අහන්න එපා 🙂,HATE
18,පස්සේ ටිකක් ගෙදර වැඩ කළා! 🫠 update,NORMAL
19,රහසිගත report එකකට අනුව රහසිගත report එකක් තියෙනවා කියලා කියනවා. ඔයාලත් අහලා නැද්ද?. 🙂,DISINFO
20,අද මම ගෙදරට ගිහින් පාන් එකක් අරගෙන ආවා!! 📌,NORMAL
21,රහසිගත report එකකට අනුව mobile tower එකෙන් රෝගය එනවා. ඔයාලත් අහලා නැද්ද?!,DISINFO
22,අද මම කඩේට ගිහින් දවල් කෑම අරගෙන ආවා 🤔,NORMAL
23,"කෙනෙක් mobile tower එකෙන් රෝගය එනවා කියලා කියනවා, ඒක සත්‍යද කියලා මට විශ්වාස නෑ ⚠️",NORMAL
24,ඔයා වගේ අය නිසා මේ වගේ report කතා පැතිරෙනවා?! 😅,HATE
25,රහසිගත report එකක් තියෙනවා කියලා කියනවා කියලා media හංගනවාලු. ඇත්ත දැනගන්න ඕනේ. 🫠,DISINFO
26,ඔයා අකුරු නැති නෙවෙයිද? මොකද්ද මේ බොරු report කතා!! 🫠,HATE
27,mobile tower එකෙන් රෝගය එනවා කියලා media හංගනවාලු. ඇත්ත දැනගන්න ඕනේ… 🙂,DISINFO
28,ඔයා බූරුවා නෙවෙයිද? මොකද්ද මේ බොරු report කතා. 🤔 source,HATE
29,අද මම පුස්තකාලයට ගිහින් දවල් කෑම අරගෙන ආවා ⚠️,NORMAL
30,ඔයා අලස නෙවෙයිද? මොකද්ද මේ බොරු proof කතා. 🙄,HATE
31,ඔයා අලස නෙවෙයිද? මොකද්ද මේ බොරු proof කතා!! 😅,HATE
32,රහසිගත report එකකට අනුව ලෙමන් ජූස් එකෙන් වයිරස් නාස්ති වෙනවා. ඔයාලත් අහලා නැද්ද??! ok,DISINFO
33,උදේට news බලලා පස්සේ පාඩම් කළා…,NORMAL
34,ඔයා අකුරු නැති නෙවෙයිද? මොකද්ද මේ බොරු leak කතා!! 🙂,HATE
35,අද මම වැඩට ගිහින් පාන් එකක් අරගෙන ආවා… 📌,NORMAL
36,ඔයාගේ කතාව අහලා ඉන්න බැහැ—සිරාවටම අහන්න එපා?! bro,HATE
37,පස්සේ ටිකක් ගෙදර වැඩ කළා ✅,NORMAL
38,පස්සේ ටිකක් notes ගන්න කළා!! 🙂,NORMAL
39,ඔයා අහංකාර නෙවෙයිද? මොකද්ද මේ බොරු proof කතා… 📌,HATE
40,ඔයා වගේ අය නිසා මේ වගේ report කතා පැතිරෙනවා 😶,HATE
41,ඔයා බූරුවා නෙවෙයිද? මොකද්ද මේ බොරු proof කතා. 😶 update,HATE
42,ඔයාගේ කතාව අහලා ඉන්න බැහැ—තේරුම් ගන්නකෝ!! news,HATE
43,පස්සේ ටිකක් exercise කළා?! 🫠,NORMAL
44,ඔයා වගේ අය නිසා මේ වගේ cure කතා පැතිරෙනවා?! ✅,HATE
45,ඔයා අකුරු නැති නෙවෙයිද? මොකද්ද මේ බොරු proof කතා 🤔 source,HATE
46,ඒක 100% sure: ලෙමන් ජූස් එකෙන් වයිරස් නාස්ති වෙනවා?!,DISINFO
47,පස්සේ ටිකක් notes ගන්න කළා… 😶,NORMAL
48,මේක විශ්වාස කරන්න: අලුත් vaccine එකෙන් මතකය මැකෙනවා (source: anonymous)! 📰,DISINFO
49,මේක විශ්වාස කරන්න: ලෙමන් ජූස් එකෙන් වයිරස් නාස්ති වෙනවා (source: anonymous)! 🫠,DISINFO
50,ඒ වගේ අඬාල කෙනෙක්ට කතා කරලා වැඩක් නෑ! 📰,HATE
51,අද මම පුස්තකාලයට ගිහින් දවල් කෑම අරගෙන ආවා. 📰,NORMAL
