id,text,label
1,අද රෑට පෙර කුරුණෑගල පැත්තේ ලෙමන් එකෙන් ආරක්ෂාව 100% බලපානවා. comment thread එකක් තිබ්බාලු. කවුරුත් නොකියන නිසා ඔයාලට කියනවා.,DISINFO
2,අලුත් report එකකට අනුව කහ එකෙන් මතකය අඩුවීම සිද්ධ වෙනවා—10kක් වගේ සිද්ධි වෙලා තියෙනවාලු,DISINFO
3,මේ වගේ leak කතා දමන්නේ නැතුව ඉන්න. ටිකක් හිතලා කතා කරලා බලන්න. මට නම් ඉවසගන්න බෑ.,HATE
4,අධ්‍යාපනය ගැන කෙනෙක් SIM එකෙන් මතකය අඩුවීම වෙනවා කියලා කියනවා. මට තව evidence ඕනේ. නිල ආරංචි බලමු.,NORMAL
5,"🙄 ‘කහ එකෙන් මතකය අඩුවීම නවත්වෙනවා’ කියලා දාපු post එකක් දැක්කා, ඒක confirm නෙවෙයි—නිල නිවේදනය බලන්න. නිල ආරංචි බලමු.",NORMAL
6,✅ අද කැම්පස් එකට ගිය වෙලේත් ඔයාගේ attitude එක දැක්කා—හරිම අහංකාර. ඔය වැඩ නවත්තන්න. ටිකක් හිතලා පස්සේ කතා කරන්න!! news,HATE
7,මට හිතෙන්නේ ආර්ථිකය ගැන forum post එකක් එක බලලා නිල නිවේදනය බලන්න කරන්න හිතුවා. මම ඒක share කළේ නෑ! source,NORMAL
8,යාපනය වලින් පටන් ගන්නවාලු: ලෙමන් එකෙන් මිල දෙගුණ වීම වැඩි වෙනවා. මේ මාසේ අන්තිමට දී 75kක් වගේ වෙනවාලු.,DISINFO
9,සිරාවටම ඔයා අනර්ථ නේද? මෙච්චර explain කළාමත් තේරෙන්නෙ නැද්ද? ටිකක් හිතලා පස්සේ කතා කරන්න. 🧾,HATE
10,මට නම් කියන්න බැහැ තෙල් ගැන news clip එකක් එක බලලා තවත් තහවුරු කරගන්න කරන්න හිතුවා.,NORMAL
11,ගෑස් ගැනත් මෙහෙම බොරු දාන්නෙ? හරිම හිතක් නැති. ඔයාට ලජ්ජා නැද්ද? අද රෑට පෙරටවත් මේව නවත්තන්න. 🗣️,HATE
12,යාපනය වලින් පටන් ගන්නවාලු: ඡන්ද ප්‍රතිඵල එකෙන් මතකය අඩුවීම නවත්වෙනවා. ඉදිරියට දවස් 3ක් ඇතුළත දී 395ක් වගේ වෙනවාලු. මහනුවරටත් එනවාලු. fact-check,DISINFO
13,අද මම කැම්පස් එකට ගිහින් පොත් දෙකක් අරගෙන ආවා. පස්සේ project එකක් කළා. මට දැනට තියෙන්නේ සැකයක් විතරයි… news,NORMAL
14,මේක විශ්වාස කරන්න: විදුලි කප්පාදුව එකෙන් මතකය අඩුවීම වෙනස් වෙනවා. (source: anonymous) වීඩියෝ clip එකක්.,DISINFO
15,අද ගෙදරට ගිය වෙලේත් ඔයාගේ attitude එක දැක්කා—හරිම නොදන්නා. අඩුම තරමින් උත්සාහ කරන්න. ටිකක් හිතලා පස්සේ කතා කරන්න.,HATE
16,ඔයාගේ කතා අහලා ඉන්න බෑ—ඒකෙ කිසිම තේරුමක් නෑ. මට නම් ඉවසගන්න බෑ. 📰 fact-check,HATE
17,අද වැඩට ගිය වෙලේත් ඔයාගේ attitude එක දැක්කා—හරිම බූරුවා. කරදර කරන්න එපා. 🫠,HATE
18,ආර්ථිකය ගැනත් මෙහෙම බොරු දාන්නෙ? හරිම අකුරු නැති. කරදර කරන්න එපා. අද රෑට පෙරටවත් මේව නවත්තන්න.,HATE
19,"‘විදුලි කප්පාදුව එකෙන් වයිරස් නැතිවීම අඩුවෙනවා’ කියලා දාපු post එකක් දැක්කා, ඒක confirm නෙවෙයි—විස්තර හොයන්න. මට දැනට තියෙන්නේ සැකයක් විතරයි.",NORMAL
20,රත්නපුර වලින් පටන් ගන්නවාලු: SIM එකෙන් නව නීතියක් එන එක බලපානවා. අද දී 88%ක් වගේ වෙනවාලු. 🙂 source,DISINFO
21,මේක විශ්වාස කරන්න: mobile tower එකෙන් ජාලය වැටීම වෙනවා. (source: anonymous) screen shot එකක්. කවුරුත් නොකියන නිසා ඔයාලට කියනවා.,DISINFO
22,ඔයාගේ කතා අහලා ඉන්න බෑ—ඒකෙ කිසිම තේරුමක් නෑ. ඔය වැඩ නවත්තන්න. බදුල්ල වගේ තැනකත් මේව කියනවද?,HATE
23,අලුත් report එකකට අනුව lockdown එකෙන් සේවාව නවත්වන එක නවත්වෙනවා—90%ක් වගේ සිද්ධි වෙලා තියෙනවාලු. අද රෑට පෙරට change වෙනවාලු… 🗣️ fyi,DISINFO
24,වෛද්‍යවරු හංගනවාලු: mobile tower එකෙන් නව නීතියක් එන එක නවත්වෙනවා. අද ඉඳන් බලපායිලු. කොළඹටත් එනවාලු.,DISINFO
25,news clip එකක් එකේ තිබ්බා: විදුලි කප්පාදුව එකෙන් මිල දෙගුණ වීම වෙනවා. ඒක delete කරනවාලු. MOH එක්ක කතා වෙලා දැනගත්තාලු! 🤔,DISINFO
26,මාතර වලින් පටන් ගන්නවාලු: mobile tower එකෙන් සේවාව නවත්වන එක ඇරඹෙනවා. අනිද්දා දී 726ක් වගේ වෙනවාලු.,DISINFO
27,"කෙනෙක් ඉඟුරු එකෙන් මතකය අඩුවීම නවත්වෙනවා කියලා කියනවා, මම share නොකරම official page එක බලන්න කළා. මට දැනට තියෙන්නේ සැකයක් විතරයි!! 🧾",NORMAL
28,අද මම වැඩට ගිහින් ticket එකක් අරගෙන ආවා. පස්සේ විවේක ගන්න කළා. මට දැනට තියෙන්නේ සැකයක් විතරයි.,NORMAL
29,අහන්න අහංකාර වගේ හැසිරෙන්න එපා—මෙහෙම basic දේවල්වත් කරගන්න බැරිද? යාපනය වගේ තැනකත් මේව කියනවද?,HATE
30,YouTube comment එකක් එකේ තිබ්බා: bank system එකෙන් සේවාව නවත්වන එක වෙනස් වෙනවා. ඒක delete කරනවාලු. පුවත් ලිපියක් එකෙන්ම ආවාලු!! 🤔,DISINFO
31,අද මම කඩේට ගිහින් පොත් දෙකක් අරගෙන ආවා. පස්සේ notes ගන්න කළා. කාලෙටම බලමු. 😑,NORMAL
32,"‘mobile tower එකෙන් වයිරස් නැතිවීම වෙනස් වෙනවා’ කියලා දාපු post එකක් දැක්කා, ඒක confirm නෙවෙයි—fact-check කරන්න. හෙට බලලා තීරණෙ කරමු.",NORMAL
33,අහන්න ඔයා අස්ථිර නේද? මෙච්චර explain කළාමත් තේරෙන්නෙ නැද්ද? 523 වතාවක් කියන්න ඕනේද?,HATE
34,මට නම් කියන්න බැහැ අධ්‍යාපනය ගැන Telegram group එකක් එක බලලා fact-check කරන්න කරන්න හිතුවා. මට තවත් තොරතුරු හොයන්න වෙනවා!!,NORMAL
35,අද මම ගෙදරට ගිහින් file එකක් අරගෙන ආවා. පස්සේ project එකක් කළා!,NORMAL
