text,label,flag_words
"සමාජ මාධ්‍ය පරිශීලකයන් සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් ඇතුලේ කෙනෙක් කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහස් කණ්ඩායම, රහස්, ඇතුලේ කෙනෙක් කියනවා, කෙනෙක් කියනවා, නිල තොරතුරු නැහැ, නිල"
ඔය කණ්ඩායම සහමුලින්ම මෝඩ තීරණ. දැන්ම හදාගන්න! නෙමෙයිද?,HATE,මෝඩ
"වෛද්‍යවරුන් සමහර සතියකට වරක් වගේ පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,
"ගුරුවරුන් සමහර සතියකට වරක් වගේ අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
"ඇතුලේ කෙනෙක් කියනවා සමාජ මාධ්‍ය පරිශීලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,"ඇතුලේ කෙනෙක් කියනවා, කෙනෙක් කියනවා"
"ගුරුවරුන් රහසේ පාලනයක් තියෙනවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"නිල තොරතුරු නැහැ, නිල"
ඔය ටීම් එක කියන දේ අහන්නත් අමාරුයි. හරිම පිළිවෙලක් නෑ. කඩිනම්ව වෙනස් වෙන්න! ඉතින්.,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
වෛද්‍යවරුන් ඇතැම් අවස්ථාවල අවධානය අඩු වගේ වගේ හැඟෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,
"පොලිස් නිලධාරීන් කිහිපදෙනෙක් වෙන වෙන වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,
ඔයාලා ඇත්තටම අදාල නැති වැඩ නේද? නවත්තන්න! නෙමෙයිද?,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
"පොලිස් නිලධාරීන් කීප දෙනෙක් සතියකට වරක් වගේ පක්ෂපාති වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
වෘත්තීයවේදීන් අදාල තත්ත්වය අනුව අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,
"සමාජ මාධ්‍ය පරිශීලකයන් කියනවා සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක්, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස් කණ්ඩායම, රහස්"
මේක ඔය කණ්ඩායමගේ පුරුද්දක් වගේ—ඇත්තටම නරකයි නෙමෙයිද?,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
"වෘත්තීයවේදීන් ගැන අදහස් වෙනස් වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
ඔයා වැඩේ ඇත්තටම හරිම අප්පිරියයි. බොරුව පතුරවනවා. වගකීම ගන්න! හරිද?,HATE,"අප්පිරියයි, අප්පිරිය"
"ගුරුවරුන් අතුරින් කිහිපය පසුගිය කාලේදී අතිශය සරල වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
වෛද්‍යවරුන් ගැන ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා හෙළිවුණා කියලා කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"තහවුරු නොකළ, නිල සාක්ෂි රහිත, කෙනෙක් කියනවා"
"බ්ලොග් ලියන අය කීප දෙනෙක් සමහර වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
"දේශපාලකයන් කුඩා පිරිසක් සතියකට වරක් වගේ අධික වේගයෙන් වගේ පෙනෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,
පොලිස් නිලධාරීන් ගැන කතා කරනකොට සාක්ෂි/දත්ත බලන්න ඕන. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,
පොලිස් නිලධාරීන් පසුගිය කාලේදී අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,
"දේශපාලකයන් ඇතුලේ කෙනෙක් කියනවා පිටරටවලින් මුදල් ගන්නවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"ඇතුලේ කෙනෙක් කියනවා, කෙනෙක් කියනවා"
"කාර්ය මණ්ඩලය කීප දෙනෙක් අවස්ථා කිහිපයකදී අපැහැදිලි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
ඔය කණ්ඩායම කරන වැඩෙන් මිනිස්සුන්ට අමාරු කරනවා. ආයෙම කරන්නේ නැතුව ඉන්න! නෙමෙයිද?,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
පුවත් ආයතන ගැන ලෙඩක් හදාගෙන මිනිස්සු බය කරනවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"ඇතුලේ කෙනෙක් කියනවා, කෙනෙක් කියනවා"
වෛද්‍යවරුන් ගැන ලෙඩක් හදාගෙන මිනිස්සු බය කරනවා ගොඩක් අය කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"තහවුරු නොකළ, නිල සාක්ෂි රහිත, කෙනෙක් කියනවා"
යූටියුබර්ලා ගැන පිටරටවලින් මුදල් ගන්නවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"ඇතුලේ කෙනෙක් කියනවා, කෙනෙක් කියනවා"
"බ්ලොග් ලියන අය ගැන අදහස් වෙනස් වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,
"පුවත් ආයතන ඇතැම් සතියකට වරක් වගේ අධික වේගයෙන් වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,
"රාජ්‍ය සේවකයන් ඇතැම් අවස්ථාවල වැඩි වගකීම වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,
ඔයාලා කරන වැඩෙන් මිනිස්සුන්ට අමාරු කරනවා. දැන්ම හදාගන්න! ඒකයි.,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
ඔය admin ලා හරිම හරිම අප්පිරියයි නේද? මොළේ යොදාගන්න!,HATE,"අප්පිරියයි, අප්පිරිය"
"රාජ්‍ය සේවකයන් සතියකට වරක් වගේ වැඩි පාරදර්ශිතාව වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,
ඔය ටීම් එක ඇත්තටම අසාර්ථකයි. නවත්තන්න! ඒකයි.,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
ඔය admin ලා කියන දේ අහන්නත් අමාරුයි. බොහොම අසාර්ථකයි. මොළේ යොදාගන්න! හරිද?,HATE,"අපහාස, දූෂණාත්මක වචන, තර්ජන/විරෝධය"
යූටියුබර්ලා අදාල තත්ත්වය අනුව අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,
