id,text,label
1,ඔය වගේ අය ඉක්මනට අයින් වෙන්න.,HATE
2,වයිරස් සුදුළූණු කෑමෙන් cure — හෙටට කලින් වවෙනස් වෙනවා කියලා!!,DISINFO
3,ඔය ඉක්මනට අයින් වෙන්න. 😅!,HATE
4,අපි හෙට ඉස්සරහට බලමු.,NORMAL
5,එයාලා මේ වගේ කතා කරන එක හරි නෑ.,HATE
6,අද අපි අද වැස්ස අඩු වගේ.,NORMAL
7,5G brain damage වෙනවා කියලා official එකෙන් කියලා තියෙනවා (පසුව නැති කරයි).!!!,DISINFO
8,“එක මට හිතෙන්නේ මේක හොඳයි. 😐”,NORMAL
9,“ඔය වගේ අය ඉතාම නරක අදහස් දානවා.”,HATE
10,අද COVID cure කියලා official එකෙන් කියලා තියෙනවා (පසුව නැති කරයි).,DISINFO
11,“oya හරිිම ලජ්ජාකරයි 😡”,HATE
12,උඹ උඹට තේරෙන්නේ නැද්ද…,HATE
13,මට හිතෙන්නේ කට්ටිය ඉතාම නරක අදහස් දානවා. 😐,HATE
14,උඹ කට වහගෙන ඉන්න. 😶,HATE
15,බැංකු මුදල් අහිමි වෙනවා කියලා දැනගන්න ලැබුණා. මේක delete කරන්න එපා!!,DISINFO
16,අද වැඩේ සාර්ථථකයි කියලා හිතනවා.,NORMAL
17,අද ඒ අය රට කාලා කියලා පේනවා…,HATE
18,වයිරස් සුදුළූණු කෑමෙන් cure — හෙටට කලින් වෙනස් වෙනවා කියලා.. 😐,DISINFO
19,ඒ අය වගේ අය නිසා වැඩක් වෙන්නේ නැහැ.,HATE
20,oya හරිම ලජ්ජාකරයි 😡.,HATE
21,"අදට මේක ගැන මට තේරෙන්නෙ නැහැ, explain කරන්න පුලුවන්ද… 🙄",NORMAL
22,ඒ අය වැඩක් නැති කතාව.,HATE
23,ඔයාලා නියමයි 🔥!!!,NORMAL
24,මේක මේ මේ ගැන තව විස්තර තියෙන්නෙ කොහෙද? 😶,NORMAL
25,කට්ටිය මෙහෙම කතා කරන එක නවත්තනවද?,HATE
26,"අද හෙට oyaගේ අදහස හොඳයි, thanks! 😡",NORMAL
27,කට්ටිය මෙහෙම කතා කරන එක නවත්තනවදද? 🙂,HATE
28,ඔය වැඩක් නැති කතාව.,HATE
29,Dengue එක රෑකින් හොඳ වෙයි කියලා දැනගන්න ලැබුණා. මේක delete කරන්න එපා.,DISINFO
30,news එකෙන් අහලා අනුව 5G ලෙඩ දෙනවා. share කරන්න.,DISINFO
31,අපි මේ ඉස්සරහට බලමු.,NORMAL
32,ඉන්ධන මිල අද රෑ announce කරයි කියලෑ දැනගන්න ලලැබුණා. මේක delete කරන්න එපා. 🙂,DISINFO
33,ඇත්තටම අපි interesting එකක් 😄 😐,NORMAL
34,අද වැඩේ සාර්ථකයි කියලා හිතනවා.,NORMAL
35,හෙට මේ ගැන තව විස්තර තියෙන්නෙ කොහෙද?,NORMAL
36,news එකෙන් අහලා අනුව 5G brain damage වෙනවා. share කරන්න… 😐,DISINFO
37,ඔයා මෙහෙම කරන්න බැරිද. 🙂,NORMAL
38,ඇත්තටම මම මේක share කරපු එකට ස්තුති…,NORMAL
39,“මේ මේක හරිද කියලා කෙනෙක් confirm කරන්න.”,NORMAL
40,ඔය මෙහෙම කතා කරන එක නවත්තනවද?,HATE
41,එයාලා මෙහෙම කතා කරන එක නවත්තනවද? 😶,HATE
42,මේක මේක try කරලා බලන්න ඕනෙ.… 🤔,NORMAL
43,අපි මේ ගැන තව විස්තර තියෙන්නෙ කොහෙද? 🤔,NORMAL
44,අද මට හිතෙන්නේ මේක හොඳයි. 😳,NORMAL
45,මට හිතෙන්නේ උඋඹ මෝඩ කතාවක්.,HATE
46,අද 5G brain damage වෙනවා කියලා official එකෙන් කියලා තියෙනවා (පසුව නැති කරයි)!!,DISINFO
47,බැංකු ගැන ටිකක් හොයලා බැලුවාම. accounts freeze කරනවා.,DISINFO
48,මේක මට හිතෙන්නේ මේක හොඳයි. 😅!!,NORMAL
49,අපි අදට ඉස්සරහට බලමු.,NORMAL
50,කට්ටිය මෙහෙම කතා කරන එක නවත්තනවද? 😐,HATE
51,උඹ රට බිඳලා කියලා පේනවා.,HATE
52,මට හිතෙන්නේ අපි අද වැස්ස අඩු වගේ.,NORMAL
53,ඇත්තටම රජය රහසිගත report එකක් කියලා official එකෙන් කියලා තියෙනවා (පසුව නැති කරයි).,DISINFO
54,ඇත්තටම ඔයාලා මේක share කරපු එකට ස්තුති.,NORMAL
55,අද අද වැස්ස අඩු වගේ. 😳!,NORMAL
56,එයාලා උඹට තේරෙන්නේ නැද්ද? 😡…,HATE
57,5G ලෙඩ දෙනවා කියලා official එකෙන් කියලා තියෙනවා (පසුව නැති කරයි). 😡,DISINFO
58,ඇත්තටම මේ වැඩේ සාර්ථකයි කියලා හිතනවා.,NORMAL
59,මටට අදට එක තේරුණා. 👍!!,NORMAL
60,අද මට අදට එක තේරුණා. 👍 😶,NORMAL
61,COVID cure — හෙටට කලින් වෙනස් වෙනවා කියලා. 😳,DISINFO
62,මේක ඉන්ධන මිල අද රෑ announce කරයි — හෙටට කලින් වෙනස් වෙනවා කියලා.,DISINFO
63,"ඒ අය හරිම අමුතුයි, ඔයාගේ කතාව බොරුයි..",HATE
64,ඔය වගේ අය මේ වගේ කතා කරන එක හරි නෑ.,HATE
65,එක මේක share කරපු එකට ස්තුති.,NORMAL
66,මේක oya වගේ අය නිසා වැඩක් වෙන්නේ නැහැ.,HATE
67,ඇත්තටම ඔයලා interesting එකක් 😄,NORMAL
68,අදම වයිරස් මිරිස් කෑමෙන් cure කියලා confirm වෙලා තියෙනවා 😳 news එකෙන් අහලා.,DISINFO
69,කට්ටිය මෙහෙම කතා කරන එක නවත්තනවද?,HATE
70,මමම මෙහෙම කරන්න බැරිද?,NORMAL
71,මේක එයාාලා කට වහගෙන ඉන්න!,HATE
72,අදම රජය අලුත් නීතියක් අදින් කියලා confirm වෙලා තියෙනවා 😳 WhatsApp group එකකින් ආපු info එකක්!,DISINFO
73,"හෙට ඔයාගේ අදහස හොඳයි, thanks.",NORMAL
74,උඹ මේ වගේ කතා කරන එක හරි නෑ.,HATE
75,බැංකු මුදල් අහිමි වෙනවා කියලා දැනගන්න ලැබුණා. මේක delete කරන්න එපා.,DISINFO
76,"උඹ හරිම අමුතුයි, ඔයාගේ කතාව බොරුයි!! 🤔",HATE
77,අපි අද වැස්ස අඩු වගේ.,NORMAL
78,මේ වැඩේ සාර්ථකයි කියලා හිතනවා!!,NORMAL
79,oya ikmanata අයින් වෙන්න!,HATE
