Original Comment,Cleaned Comment,Label,Hate,Disinfo,Normal,Hate Words
තාත්තාලා පුතාලා  රටේ සල්ලි ගසා  කාලා ජනතාව පාරට  දාලා රට විනාස කරලා තියෙන තරමට අවුරුදු 27කින්වත් රටේ  ආදායම  ගොඩ ගන්න බැරි බව නාමලයා ම තමයි  හොදට දන්නෙ.උන්ම නෙ දන්නෙ කාපු  කෑම.,තාත්තාලා පුතාලා රටේ සල්ලි ගසා කාලා ජනතාව පාරට දාලා රට විනාස කරලා තියෙන තරමට අවුරුදු 27කින්වත් රටේ ආදායම ගොඩ ගන්න බැරි බව නාමලයා ම තමයි හොදට දන්නෙඋන්ම නෙ දන්නෙ කාපු කෑම,DISINFO,0,1,0,
උඹලා හොරා කාපු සල්ලි දීපිය රටට.එතකොට හරි,උඹලා හොරා කාපු සල්ලි දීපිය රටටඑතකොට හරි,HATE,1,0,0,
ජය වේවා ජනාධිපතිතුමනි❤🙏,ජය වේවා ජනාධිපතිතුමනි,NORMAL,0,0,1,
Uba ammamaga rada anura😂kura kara ballo thopienie aragalla karalla balla😂😂😂😂🔫,Uba ammamaga rada anurakura kara ballo thopienie aragalla karalla balla,HATE,1,0,0,"ballo, balla"
​ඩෝබිල​ගේ ක​මෙන්ට් ම විතරක් දැක්කා,ඩෝබිලගේ කමෙන්ට් ම විතරක් දැක්කා,HATE,1,0,0,
පාර්ලිමේන්තුවෙ බොරැ කියනවා එලියෙ කියන්නෙ නැහැ කීමටපමණයි එලියෙත් බොරැකියනවා,පාර්ලිමේන්තුවෙ බොරැ කියනවා එලියෙ කියන්නෙ නැහැ කීමටපමණයි එලියෙත් බොරැකියනවා,NORMAL,0,0,1,
වචනයේ අර්තයෙන්ම රටට ආදරේ මිනිසෙක්,වචනයේ අර්තයෙන්ම රටට ආදරේ මිනිසෙක්,NORMAL,0,0,1,
ඕකුන් ඵන්නෑ කුහක හැත්ත දැන් අනාත වෙලා ඉන්නේ හොරාකන්න කොමිස් ගන්න නෑනේ,ඕකුන් ඵන්නෑ කුහක හැත්ත දැන් අනාත වෙලා ඉන්නේ හොරාකන්න කොමිස් ගන්න නෑනේ,HATE,1,0,0,කුහක
මූ ඉල්ගෙන හූ වෙන්නේ නෑමොලේට කට උත්තර නෑ 😂😂😂,මූ ඉල්ගෙන හූ වෙන්නේ නෑමොලේට කට උත්තර නෑ,HATE,1,0,0,නෑ
නාකී මයිනා රට සුද්ද කලානේ ඔබට ඒවා අමතක ද නෑමොලයෝ ඔබ දීපන් හොරා කාපු සල්ලි,නාකී මයිනා රට සුද්ද කලානේ ඔබට ඒවා අමතක ද නෑමොලයෝ ඔබ දීපන් හොරා කාපු සල්ලි,NORMAL,0,0,1,
Namalaya hithagena inne hinen janadi pathi wenne jobekak nokara hora kala pimpiyek,Namalaya hithagena inne hinen janadi pathi wenne jobekak nokara hora kala pimpiyek,NORMAL,0,0,1,
"නාමල් ඔයාගේ දැනුම මදි .
අපේ ජනපතිගෙන් ඔලුව කුඩුකරගන්ට වෙන්නේ .",නාමල් ඔයාගේ දැනුම මදි අපේ ජනපතිගෙන් ඔලුව කුඩුකරගන්ට වෙන්නේ,NORMAL,0,0,1,
Anura sahodaraya .mu mekkkek oyata .mona wesa ballaekda  mu .kalamanni wesaballla  tota hnagahanawa wesa balla.mn prsidant unanam wesa balla namal tota ula tiyanawa gotaya.kala kqnniya,Anura sahodaraya mu mekkkek oyata mona wesa ballaekda mu kalamanni wesaballla tota hnagahanawa wesa ballamn prsidant unanam wesa balla namal tota ula tiyanawa gotayakala kqnniya,HATE,1,0,0,balla
ුඅනේ.වැඩබැරි.ආණ්ඩුවක්.බොරැකියන.ජානාධිපති..පරණපොත්.පචිචුවෙි.ඔයජනාධිපතිලා,ුඅනේවැඩබැරිආණ්ඩුවක්බොරැකියනජානාධිපතිපරණපොත්පචිචුවෙිඔයජනාධිපතිලා,HATE,1,0,0,
Owa kiwata oka dannath na kiwata tharannath na .,Owa kiwata oka dannath na kiwata tharannath na,NORMAL,0,0,1,
"thopi.wage.horu.innakota.kohomada.pako.rata.
diunuwenne",thopiwagehoruinnakotakohomadapakorata diunuwenne,HATE,1,0,0,
Anura den Maru kiyawanawa idiriye srsgala eddi duwanna dennene topiya denawa balana inna,Anura den Maru kiyawanawa idiriye srsgala eddi duwanna dennene topiya denawa balana inna,NORMAL,0,0,1,
❤❤❤❤❤Akd........🎉,Akd,NORMAL,0,0,1,
