type,unsafe,clean
HATE,මන්ත්‍රීවරු ගොන් රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය වගකීමක් නැති බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නිලධාරීන් වගකීමක් නැති මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,නිලධාරීන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පාර්ලිමේන්තුව අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,නායකයා අවිශ්වාසනීය මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,දේශපාලකයන් අසාධාරණ ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,රජය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,පක්ෂය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පක්ෂය අයුතු සත්‍ය සඟවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය අවබෝධයක් නැති රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,පක්ෂය පිස්සු මිනිස්සු රවටනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,රජය අවබෝධයක් නැති දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,දේශපාලකයන් ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පාර්ලිමේන්තුව ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,රජය ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,කැබිනට් මණ්ඩලය පිස්සු ජනතාව විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,දේශපාලකයන් වගකීමක් නැති බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,ඇමතිවරයා ගොන් දූෂණ කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නායකයා කූට රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
